Data, Open, High, Low, Close, Volume
10/4/2011,465984.03,470016,395136,395136,0
10/5/2011,379123.19,381888,348249.59,348249.59,0
10/6/2011,347788.81,360576,334080,334080,0
10/7/2011,327513.59,356659.22,323481.59,338918.41,0
10/10/2011,317721.59,317951.97,299404.78,299404.78,0
10/11/2011,301478.41,301939.19,286272,289152,0
10/12/2011,267724.78,267724.78,239731.19,247219.19,0
10/13/2011,255743.98,269222.41,248947.19,248947.19,0
10/14/2011,225331.19,238348.77,220492.78,224409.59,0
10/17/2011,222220.8,267840,222220.8,267840,0
10/18/2011,265881.59,283622.41,228672,249984,0
10/19/2011,241920,284774.41,237311.98,277747.19,0
10/20/2011,281318.41,301017.59,274176,278208,0
10/21/2011,259660.8,268992,249984,249984,0
10/24/2011,243878.38,243878.38,218534.41,219571.19,0
10/25/2011,225446.41,251712,225446.41,248256,0
10/26/2011,228441.59,263923.19,226022.39,228556.8,0
10/27/2011,181209.58,190425.59,164390.39,167616,0
10/28/2011,173721.59,176371.2,162547.19,164620.8,0
10/31/2011,180172.78,199641.59,177292.78,199641.59,0
11/1/2011,260351.98,270489.59,242265.59,258163.19,0
11/2/2011,239615.98,259545.59,236620.8,242265.59,0
11/3/2011,228211.19,257587.19,217382.39,219456,0
11/4/2011,230630.39,244108.78,221299.2,227750.39,0
11/7/2011,230284.78,241919.98,223488,223603.19,0
11/8/2011,217497.58,229708.8,201599.98,202521.59,0
11/9/2011,232819.22,280512,229824.02,277516.78,0
11/10/2011,244800,273600,240768,242380.8,0
11/11/2011,224409.59,224755.2,216576,222220.8,0
11/14/2011,228787.19,241689.58,227865.59,232819.19,0
11/15/2011,241228.78,245606.38,224524.78,228326.39,0
11/16/2011,242611.2,253555.19,225792,250444.8,0
11/17/2011,254246.39,283968,249753.59,274291.19,0
11/18/2011,258623.98,273945.59,255513.59,255513.59,0
11/21/2011,282700.81,283507.19,258739.2,261849.59,0
11/22/2011,264614.41,269798.41,249523.19,250905.59,0
11/23/2011,262886.41,274636.78,259315.17,273484.78,0
11/25/2011,275327.97,282470.41,264729.59,280512,0
11/28/2011,243187.17,259199.97,238924.78,253785.59,0
11/29/2011,248947.2,253900.81,238118.39,243072,0
11/30/2011,210355.2,213926.39,198950.41,199987.19,0
12/1/2011,201599.98,202521.61,188236.8,190886.39,0
12/2/2011,179827.2,190655.98,173606.39,189734.39,0
12/5/2011,174182.39,193190.39,173721.59,189158.39,0
12/6/2011,189158.39,191577.59,182592,187430.39,0
12/7/2011,192960,207935.98,192844.8,199296,0
12/8/2011,210355.2,220723.22,207360.02,217728,0
12/9/2011,211737.59,212198.41,186739.19,187545.59,0
12/12/2011,194342.39,201599.98,188006.39,188006.39,0
12/13/2011,180518.39,193881.58,172569.59,186508.8,0
12/14/2011,185932.8,195148.78,181209.58,187200,0
12/15/2011,174182.39,177983.98,168768,173260.8,0
12/16/2011,161856,175564.8,161856,171302.39,0
12/19/2011,167616,170496,160704,167500.8,0
12/20/2011,152870.39,152870.39,146879.98,146995.2,0
12/21/2011,144115.19,148377.61,127180.8,127641.59,0
12/22/2011,121996.8,130175.99,117158.39,127526.4,0
12/23/2011,123955.2,136166.41,123609.6,133632,0
12/27/2011,132480,133401.59,128563.2,132134.39,0
12/28/2011,130521.59,143424,130521.59,142617.59,0
12/29/2011,140774.39,141004.78,135359.98,135820.8,0
12/30/2011,135820.8,140198.39,134784,140083.2,0
1/3/2012,127180.8,128678.39,123839.99,125337.59,0
1/4/2012,128908.8,130982.4,120153.59,120499.2,0
1/5/2012,123724.8,126144,114624,114969.59,0
1/6/2012,113011.2,117504,108979.2,111283.2,0
1/9/2012,109209.59,111052.8,106790.4,107942.4,0
1/10/2012,101376,104601.59,99417.59,103449.59,0
1/11/2012,105177.59,107366.39,104601.59,106444.8,0
1/12/2012,105638.39,113356.79,103449.59,103680,0
1/13/2012,108748.8,115430.4,108288.01,109209.59,100
