Data, Open, High, Low, Close, Volume
1/25/2007,68.77,68.77,68.56,68.56,2100
1/26/2007,66.77,68.02,66.64,67.85,18200
1/29/2007,68.02,69.33,68.02,68.89,38400
1/30/2007,69.26,69.74,68.66,69.74,34900
1/31/2007,68.98,70.68,68.9,69.98,32400
2/1/2007,70.9,71.55,70.53,71.55,34300
2/2/2007,71.44,71.87,71.29,71.66,16800
2/5/2007,71.36,71.82,70.94,71.11,32400
2/6/2007,71.75,71.82,70.78,71.77,22900
2/7/2007,72.02,72.94,71.7,72.94,30000
2/8/2007,72.6,73.1,72.6,72.93,4200
2/9/2007,73.03,73.03,70.57,71.44,7700
2/12/2007,71.45,71.45,70.45,70.66,12800
2/13/2007,71.71,72.22,71.4,72.21,23500
2/14/2007,72.33,73.16,72.2,72.38,23800
2/15/2007,72.26,73.11,72.01,72.7,16400
2/16/2007,72.54,73.17,71.81,73.01,36600
2/20/2007,72.63,74.8,72.05,74.58,30000
2/21/2007,73.9,74.76,73.7,74.76,111800
2/22/2007,74.96,75.23,73.85,75.18,43000
2/23/2007,74.62,74.93,73.98,74.7,27100
2/26/2007,74.97,75.09,73.04,74.12,72900
2/27/2007,70.65,71.88,67.7,67.74,152200
2/28/2007,67.77,69.34,66.81,68.61,89800
3/1/2007,66.21,68.84,65.12,68.11,43300
3/2/2007,67.12,67.74,65.27,65.4,68900
3/5/2007,64.21,65.8,62.57,62.57,112600
3/6/2007,64.46,66.56,64.24,66.08,117800
3/7/2007,65.98,66.42,65.07,65.09,136100
3/8/2007,66.63,67.35,65.97,66.25,130000
3/9/2007,67.39,67.43,66.17,67.14,146500
3/12/2007,67.14,67.82,66.58,67.54,86500
3/13/2007,66.71,66.93,63.9,64.09,99300
3/14/2007,64.56,65.56,62.71,65.56,99600
3/15/2007,65.67,66.66,65.67,66.61,51200
3/16/2007,66.47,66.83,65.33,65.74,57600
3/19/2007,66.88,67.53,66.58,67.14,54600
3/20/2007,67.14,68.3,66.81,68.3,44700
3/21/2007,68.47,71.03,68.18,70.69,137300
3/22/2007,71.1,71.1,70.21,70.77,55300
3/23/2007,70.83,71.13,70.6,71,58700
3/26/2007,70.88,71.27,69.63,70.93,59300
3/27/2007,70.08,70.09,69.33,69.84,52600
3/28/2007,69.11,69.61,67.98,69.21,101500
3/29/2007,70.07,70.07,67.88,69.17,98900
3/30/2007,69.54,70.28,68.26,69.28,150100
4/2/2007,69.9,69.91,69.1,69.9,77800
4/3/2007,70.56,71.84,70.46,71.45,134700
4/4/2007,71.29,71.44,70.72,71.17,47600
4/5/2007,71.07,71.82,70.95,71.19,59200
4/9/2007,71.29,71.63,70.94,71.29,55300
4/10/2007,71.42,72.13,71.36,71.86,44300
4/11/2007,71.49,71.49,69.94,70.76,41000
4/12/2007,70.19,71.86,69.76,71.74,63700
4/13/2007,72.07,72.57,71.23,72.57,62900
