Data, Open, High, Low, Close, Volume
2/2/2007,66.18,66.18,66.18,66.18,0
2/5/2007,66.18,66.18,66.18,66.18,0
2/6/2007,66.43,66.43,66.43,66.43,300
2/7/2007,66.79,66.79,66.79,66.79,400
2/8/2007,66.37,66.37,66.3,66.3,15000
2/9/2007,65.29,65.29,65.29,65.29,5100
2/12/2007,65.29,65.29,65.29,65.29,0
2/13/2007,65.29,65.29,65.29,65.29,0
2/14/2007,65.29,65.29,65.29,65.29,0
2/15/2007,68.42,68.83,68.42,68.83,600
2/16/2007,68.83,68.83,68.83,68.83,0
2/20/2007,68.1,69.03,68.1,69.03,15500
2/21/2007,69.11,69.13,69.11,69.13,2000
2/22/2007,68.65,68.65,68.65,68.65,1100
2/23/2007,68.19,68.21,68.17,68.19,5000
2/26/2007,68.41,68.57,68.28,68.31,4400
2/27/2007,66.11,66.68,62.78,63.53,33500
2/28/2007,67.17,67.31,64.34,64.34,41200
3/1/2007,62.61,64.47,62.61,64.44,8100
3/2/2007,62.95,62.95,62.95,62.95,100
3/5/2007,61.71,62.39,61.43,61.43,6100
3/6/2007,62.5,62.5,62.5,62.5,200
3/7/2007,62.87,62.96,62.87,62.96,800
3/8/2007,62.96,62.96,62.96,62.96,0
3/9/2007,63.59,64.04,63.59,63.8,1200
3/12/2007,63.79,64.38,63.79,64.38,900
3/13/2007,64.38,64.38,64.38,64.38,0
3/14/2007,62.11,62.55,61.3,62.55,4100
3/15/2007,63.1,63.29,63.1,63.29,3700
3/16/2007,63.29,63.29,63.29,63.29,0
3/19/2007,63.93,63.93,63.93,63.93,300
3/20/2007,63.93,63.93,63.93,63.93,0
3/21/2007,66.79,66.79,66.74,66.74,1100
3/22/2007,66.31,66.84,66.31,66.76,400
3/23/2007,66.76,66.76,66.76,66.76,0
3/26/2007,66.65,67.12,66.65,67.12,1000
3/27/2007,65.9,65.9,65.9,65.9,500
3/28/2007,65.54,65.54,65.08,65.09,900
3/29/2007,65.09,65.09,65.09,65.09,0
3/30/2007,65.74,65.74,65.74,65.74,100
4/2/2007,65.74,65.74,65.74,65.74,0
4/3/2007,65.74,65.74,65.74,65.74,0
4/4/2007,65.74,65.74,65.74,65.74,0
4/5/2007,66.23,66.23,66.23,66.23,100
4/9/2007,66.74,66.74,66.72,66.74,1600
4/10/2007,66.82,66.82,66.82,66.82,100
4/11/2007,66.79,66.79,66.79,66.79,100
4/12/2007,67.05,67.15,67.05,67.15,1100
4/13/2007,67.15,67.15,67.15,67.15,0
4/16/2007,68.34,68.34,68.34,68.34,300
4/17/2007,68.33,68.33,68.33,68.33,100
4/18/2007,68.33,68.33,68.33,68.33,0
4/19/2007,68.33,68.33,68.33,68.33,0
4/20/2007,69.81,69.81,69.81,69.81,3000
4/23/2007,70.38,70.38,70.38,70.38,100
4/24/2007,70.38,70.38,70.38,70.38,0
4/25/2007,70.38,70.38,70.38,70.38,0
4/26/2007,70.95,71.33,70.93,71.33,1100
