Data, Open, High, Low, Close, Volume
5/7/2010,25.29,25.29,24.36,24.36,1000
5/10/2010,25.36,27.74,25.36,27.74,3100
5/11/2010,27.74,27.74,27.74,27.74,0
5/12/2010,27.74,27.74,27.74,27.74,0
5/13/2010,27.74,27.74,27.74,27.74,0
5/14/2010,25.27,25.27,25.27,25.27,500
5/17/2010,25.08,25.31,24.15,24.15,8200
5/18/2010,24.15,24.15,24.15,24.15,0
5/19/2010,22.02,22.02,22.02,22.02,100
5/20/2010,20.86,20.9,20.64,20.9,800
5/21/2010,19.69,21.53,19.69,21.53,24900
5/24/2010,22.07,22.11,22.07,22.11,1000
5/25/2010,19.81,20.27,19.6,20.26,18900
5/26/2010,21.31,21.8,20.96,20.96,1700
5/27/2010,22.52,23.28,22.29,23.25,4200
5/28/2010,23.33,23.33,22.77,22.84,3200
6/1/2010,22.84,22.84,22.84,22.84,0
6/2/2010,22.24,22.4,22.24,22.39,11600
6/3/2010,23.3,23.3,22.62,22.95,5100
6/4/2010,21.91,21.91,20.93,20.93,1200
6/7/2010,21.19,21.19,20.94,20.94,1000
6/8/2010,20.97,21.71,20.92,21.71,4600
6/9/2010,22,22.38,21.74,21.92,4800
6/10/2010,23.27,23.27,23.14,23.19,8800
6/11/2010,23.19,23.19,23.19,23.19,0
6/14/2010,24.62,24.79,24.15,24.15,1600
6/15/2010,25.24,25.26,25.24,25.26,300
6/16/2010,25.09,25.09,24.99,24.99,1400
6/17/2010,24.77,24.79,24.77,24.79,6000
6/18/2010,24.79,24.79,24.79,24.79,0
6/21/2010,24.79,24.79,24.79,24.79,0
6/22/2010,25.19,25.62,24.95,24.95,2600
6/23/2010,24.88,24.89,24.59,24.59,7100
6/24/2010,24.35,24.35,24.35,24.35,200
6/25/2010,24.35,24.35,24.35,24.35,0
6/28/2010,24.35,24.35,24.35,24.35,0
6/29/2010,24.35,24.35,24.35,24.35,0
6/30/2010,21.49,21.49,21.49,21.49,300
7/1/2010,21.32,21.32,21.27,21.29,3100
7/2/2010,22.09,22.09,21.54,21.54,600
7/6/2010,22.21,22.21,22.21,22.21,300
7/7/2010,23.36,23.36,23.36,23.36,200
7/8/2010,24.12,24.12,24.12,24.12,100
7/9/2010,24.42,24.42,24.42,24.42,200
7/12/2010,24.42,24.42,24.42,24.42,0
7/13/2010,24.77,25.05,24.62,25.05,1500
7/14/2010,25.07,25.07,25.07,25.07,200
7/15/2010,24.79,24.79,24.79,24.79,200
7/16/2010,24.53,24.53,23.47,23.49,3800
7/19/2010,23.49,23.49,23.49,23.49,0
7/20/2010,24.8,25.21,24.8,25.21,500
7/21/2010,24.64,24.75,24.64,24.75,1000
7/22/2010,25.03,25.54,25.03,25.54,7000
7/23/2010,25.8,26.21,25.74,26.21,6500
7/26/2010,26.51,26.95,26.42,26.95,2800
7/27/2010,27,27,27,27,2800
7/28/2010,27,27,27,27,0
7/29/2010,27.12,27.12,26.79,26.8,6500
