Data, Open, High, Low, Close, Volume
2/1/2007,332.27,332.36,332.27,332.36,0
2/2/2007,336.37,336.37,336.37,336.37,0
2/5/2007,334.32,334.32,334.32,334.32,1000
2/6/2007,339.4,339.4,339.4,339.4,600
2/7/2007,339.4,339.4,339.4,339.4,0
2/8/2007,340,340.1,340,340.1,1000
2/9/2007,329.24,329.24,329.24,329.24,2000
2/12/2007,329.24,329.24,329.24,329.24,0
2/13/2007,331.1,331.1,331.1,331.1,1000
2/14/2007,341.68,341.68,340.84,340.84,1400
2/15/2007,340.33,340.33,340.33,340.33,0
2/16/2007,340.33,340.33,340.33,340.33,0
2/20/2007,339.4,345.17,339.4,344.52,1400
2/21/2007,342.33,343.12,342.33,342.57,200
2/22/2007,339.58,339.58,339.58,339.58,200
2/23/2007,336.93,336.93,334.04,334.04,1600
2/26/2007,334.46,334.46,328.22,328.22,400
2/27/2007,319.04,319.36,305.76,307.62,6800
2/28/2007,315.54,315.64,311.49,312.7,0
3/1/2007,298.45,310.42,298.45,309.63,1400
3/2/2007,306.88,309.39,303.29,303.29,800
3/5/2007,295.84,298.87,291.08,291.08,600
3/6/2007,298.63,302.87,297.23,302.55,800
3/7/2007,301.61,301.99,298.87,299.24,400
3/8/2007,299.24,299.24,299.24,299.24,0
3/9/2007,307.48,307.48,304.18,304.69,400
3/12/2007,304.83,304.88,301.85,304.69,200
3/13/2007,295.42,307.02,286.24,286.24,600
3/14/2007,287.92,290.06,279.53,290.06,400
3/15/2007,291.32,298.17,291.32,294.91,600
3/16/2007,295.6,295.6,291.97,291.97,0
3/19/2007,296.07,297.79,296.07,297.23,200
3/20/2007,298.54,302.83,298.54,301.05,600
3/21/2007,301.61,317.87,301.61,315.36,800
3/22/2007,315.96,315.96,310.42,312,1200
3/23/2007,314.01,314.01,311.91,312.52,200
3/26/2007,308.32,308.51,306.41,308.51,200
3/27/2007,306.46,306.65,306.46,306.65,0
3/28/2007,300.08,301.1,298.26,298.31,800
3/29/2007,303.24,303.24,300.17,300.17,0
3/30/2007,303.15,303.34,298.26,300.26,200
4/2/2007,298.07,298.35,298.07,298.35,200
4/3/2007,301.89,305.39,301.89,304.74,0
4/4/2007,305.85,305.85,305.85,305.85,0
4/5/2007,305.85,305.85,305.85,305.85,0
4/9/2007,303.99,303.99,303.38,303.38,0
4/10/2007,305.85,306.32,305.2,306.09,400
4/11/2007,300.82,300.82,300.54,300.54,0
4/12/2007,299.94,300.78,299.94,300.78,0
4/13/2007,304.13,304.13,301.99,304.13,800
4/16/2007,314.29,316.8,314.29,316.8,3800
4/17/2007,316.8,320.72,315.82,317.59,2800
4/18/2007,320.76,325.19,320.76,324.02,2800
4/19/2007,318.2,323.32,318.2,321.46,1000
4/20/2007,326.03,326.17,322.86,325.19,400
4/23/2007,327.61,327.61,322.81,323.74,1400
4/24/2007,321.79,322.16,317.55,320.34,400
4/25/2007,321.83,328.4,321.83,328.4,200
4/26/2007,328.59,328.59,326.17,327,200
4/27/2007,325.19,326.77,324.07,326.77,600
4/30/2007,327.1,327.8,321.79,321.79,400
5/1/2007,321.83,322.21,317.73,321.55,2000
5/2/2007,324.3,327.28,322.95,325.79,1400
5/3/2007,329.05,329.05,326.91,328.31,1200
5/4/2007,333.48,333.67,331.34,331.66,400
5/7/2007,335.44,335.44,332.22,333.57,400
5/8/2007,331.15,331.48,330.78,331.48,400
5/9/2007,331.94,335.48,331.1,334.69,1000
5/10/2007,328.22,328.54,328.22,328.54,0
5/11/2007,329.99,331.52,329.99,331.52,0
5/14/2007,334.09,334.09,328.4,328.4,600
5/15/2007,332.69,332.69,324.4,324.4,0
5/16/2007,328.45,330.92,315.03,330.31,600
5/17/2007,330.27,330.27,329.99,329.99,0
5/18/2007,331.1,331.1,331.1,331.1,0
5/21/2007,329.43,329.99,329.43,329.99,0
5/22/2007,331.52,334.13,329.19,333.15,0
5/23/2007,335.67,336.97,334.27,334.74,200
5/24/2007,330.82,333.34,326.73,326.73,200
5/25/2007,327.89,327.89,327.28,327.28,0
5/29/2007,330.36,330.36,325.56,330.31,200
5/30/2007,328.91,331.71,328.64,331.71,0
5/31/2007,339.91,339.91,335.06,335.44,200
6/1/2007,335.44,335.44,335.44,335.44,0
6/4/2007,336.46,336.46,336.46,336.46,0
6/5/2007,334.32,334.32,331.43,331.8,0
6/6/2007,327.89,327.98,326.03,327.61,2600
6/7/2007,319.13,319.6,316.29,316.29,1800
6/8/2007,314.57,320.16,290.99,319.92,400
6/11/2007,321.32,326.21,320.2,323.93,200
6/12/2007,321.46,323.93,316.48,316.48,600
6/13/2007,319.46,325.79,319.46,325.79,0
6/14/2007,328.54,328.54,325.56,327.14,400
6/15/2007,332.46,332.46,327.75,328.08,400
6/18/2007,326.35,326.35,326.35,326.35,0
6/19/2007,328.45,329.05,326.12,329.05,400
6/20/2007,331.24,331.24,327.38,327.38,0
6/21/2007,316.62,320.02,312.47,320.02,400
6/22/2007,316.29,316.29,310.05,310.05,0
6/25/2007,310.05,314.98,303.38,305.2,2800
6/26/2007,304.04,310.07,304.04,305.27,0
6/27/2007,301.31,310.49,301.31,310.49,200
6/28/2007,310.49,310.49,310.49,310.49,0
6/29/2007,307.53,307.53,303.24,303.24,400
7/2/2007,310.07,312.19,310.07,312.19,0
7/3/2007,312.19,312.19,312.19,312.19,0
7/5/2007,315.63,315.63,312.85,313.74,0
7/6/2007,314.07,315.11,314.07,315.11,200
7/9/2007,316,316,313.7,313.7,0
7/10/2007,304.84,304.84,299.99,300.09,600
7/11/2007,298.34,301.41,297.4,300.93,600
7/12/2007,306.73,313.18,306.73,313.18,1600
7/13/2007,312.76,316.57,312.76,316.48,200
7/16/2007,316.19,317.89,313.18,314.12,200
7/17/2007,316.24,316.24,313.23,313.93,400
7/18/2007,305.83,305.83,297.78,305.5,1800
7/19/2007,308.28,310.49,302.82,303.05,3200
7/20/2007,303.29,303.29,291.28,292.65,400
7/23/2007,296.46,296.46,293.4,293.4,200
7/24/2007,283.7,285.63,274.84,274.84,1200
7/25/2007,283.04,284.07,272.96,278.94,2400
7/26/2007,269.15,272.72,258.69,265.38,8000
7/27/2007,264.95,270.89,259.68,259.68,11000
7/30/2007,259.3,267.4,257.28,265.33,15400
7/31/2007,270.79,274.33,254.55,256.81,23400
8/1/2007,257.04,258.97,244.89,258.97,18800
8/2/2007,260.81,265.61,255.49,260.1,11600
8/3/2007,259.92,259.92,239.71,240.18,15000
8/6/2007,243.95,260.24,235.85,258.74,24800
8/7/2007,255.72,270.84,255.3,265.24,18600
8/8/2007,274.18,282.47,261.52,274.47,18600
8/9/2007,260.2,271.97,257.28,259.96,13600
8/10/2007,251.58,263.78,247.58,258.31,22600
8/13/2007,261.38,263.73,252.95,252.95,11200
8/14/2007,253.46,254.03,240.18,240.18,13200
8/15/2007,236.27,259.02,235.24,237.22,26200
8/16/2007,232.46,254.78,227.8,254.78,38400
8/17/2007,259.02,270.79,252.19,266.74,39800
8/20/2007,268.49,269.85,257.84,267.26,19800
8/21/2007,266.74,272.72,263.73,269.33,14400
8/22/2007,276.45,277.25,266.08,272.21,10000
8/23/2007,275.27,276.45,267.17,270.79,12400
8/24/2007,268.49,273.15,265.24,273.15,8200
8/27/2007,269.71,270.18,265.85,266.93,5600
8/28/2007,257.61,258.5,248.19,249.13,22600
8/29/2007,254.31,257.84,247.25,257.75,20200
8/30/2007,248.89,257.61,247.25,253.7,11000
8/31/2007,262.79,273.48,256.9,260.81,33800
9/4/2007,260.67,269.33,259.49,266.18,16200
9/5/2007,259.4,260.15,254.88,256.71,13600
9/6/2007,255.72,256.71,251.01,254.92,14000
9/7/2007,251.49,253.75,245.32,249.6,13200
9/10/2007,249.37,252.57,241.55,247.2,19600
9/11/2007,251.25,254.31,249.6,251.25,18000
9/12/2007,249.6,254.5,248.71,252.52,10200
9/13/2007,255.3,261.14,254.41,259.49,33200
9/14/2007,254.78,260.39,254.08,260.39,5800
9/17/2007,257.65,257.84,253.32,256.9,8200
9/18/2007,259.3,277.86,256.76,277.86,48200
9/19/2007,284.92,289.49,279.08,279.22,55400
9/20/2007,280.68,280.73,270.79,272.49,12200
9/21/2007,274.47,276.07,271.03,273.1,5600
9/24/2007,273.01,273.15,267.59,267.59,8200
9/25/2007,263.88,266.71,261.8,265.86,9200
9/26/2007,268.7,271.95,265.63,269.03,10000
9/27/2007,271.58,272.95,268.89,272.66,3600
9/28/2007,271.86,273.23,269.17,270.96,4800
10/1/2007,271.2,282.34,271.2,281.16,9400
10/2/2007,285.6,287.3,282.86,287.3,11200
10/3/2007,287.35,289.99,284.09,286.5,8200
10/4/2007,289.24,289.95,286.5,287.82,5400
10/5/2007,292.83,297.27,291.03,295.24,10800
10/8/2007,291.84,292.97,288.06,288.06,3200
10/9/2007,291.36,295.52,287.44,295.52,7000
10/10/2007,293.3,295.38,287.4,290.61,8000
10/11/2007,290.89,296.04,285.7,288.15,8200
10/12/2007,287.54,289.85,286.12,286.97,7200
10/15/2007,284.19,284.19,273.47,276.82,22000
10/16/2007,274.13,274.13,266.29,267.28,23000
10/17/2007,273.37,273.37,258.78,264.02,26600
10/18/2007,258.35,262.84,256.8,260.43,11200
10/19/2007,256.18,258.83,246.03,246.03,18800
10/22/2007,241.35,253.3,241.35,250.37,14000
10/23/2007,254.2,254.2,247.87,253.59,16400
10/24/2007,249.34,253.11,236.11,236.11,61400
10/25/2007,245.09,253.68,238.62,247.21,19600
10/26/2007,256.89,258.78,247.73,258.73,35400
10/29/2007,261.85,261.85,255.9,259.68,15600
10/30/2007,259.11,259.11,254.72,255.8,10600
10/31/2007,260.1,263.5,252.45,259.77,44600
11/1/2007,250.28,250.28,238,238.47,57400
11/2/2007,237.1,237.1,222.99,232.19,69200
11/5/2007,214.91,238.76,214.91,224.54,41400
11/6/2007,228.79,232,220.67,231.49,31800
11/7/2007,225.2,243.43,210.14,210.61,91600
11/8/2007,226.24,226.24,199.37,212.41,104400
11/9/2007,214.82,221.9,201.78,212.97,147200
11/12/2007,206.74,223.79,206.74,215,52000
11/13/2007,221.95,232.81,219.63,231.44,70200
11/14/2007,233.75,252.64,225.25,230.59,59200
11/15/2007,226.67,227.85,212.97,216.66,41200
11/16/2007,224.31,224.31,209.48,212.5,45200
11/19/2007,214.86,214.86,199.52,201.64,99200
11/20/2007,204.24,207.92,187.71,195.97,113200
11/21/2007,196.97,196.97,185.02,187.95,95600
11/23/2007,196.92,200.74,189.83,198.33,49800
11/26/2007,197.82,197.82,183.46,183.79,72800
11/27/2007,188.89,196.87,184.17,192.67,89200
11/28/2007,197.63,211.37,197.63,211.08,154400
11/29/2007,213.59,213.59,202.3,207.87,61200
11/30/2007,230.92,233.75,216.19,221,102200
12/3/2007,217.18,218.4,211.93,214.58,44000
12/4/2007,214.63,214.63,205.94,207.35,52600
12/5/2007,214.86,216.8,209.1,215.48,69000
12/6/2007,217.22,229.97,214.96,229.97,126400
12/7/2007,233.75,233.75,221.95,223.69,78400
12/10/2007,226.67,233.89,223.46,232.85,90000
12/11/2007,234.93,234.93,208.96,209.76,241000
12/12/2007,221.95,223.08,198.33,205.37,165600
12/13/2007,200.74,204.62,194.84,204.24,122200
12/14/2007,206.41,206.83,195.83,196.82,122200
12/17/2007,193.61,199.18,192.01,192.2,131600
12/18/2007,198.33,198.33,186.1,191.25,204200
12/19/2007,192.48,199.75,190.73,196.92,152600
12/20/2007,210.39,210.39,187.3,191.05,121600
12/21/2007,197.69,200.82,193.94,199.54,101800
12/24/2007,198.07,206.5,198.07,206.41,52800
12/26/2007,203.42,205.41,201.76,205.13,59600
12/27/2007,203.8,204.09,195.6,196.5,97600
12/28/2007,200.29,200.29,192,193.23,56600
12/31/2007,192.61,200.01,190.1,196.98,167400
1/2/2008,199.35,199.35,186.59,188.3,156000
1/3/2008,188.96,189.91,184.08,184.65,83600
1/4/2008,178.77,183.7,172.37,173.75,253200
1/7/2008,175.5,178.68,169.29,176.21,150400
1/8/2008,179.58,181.09,162.42,163.74,260000
1/9/2008,166.54,168.29,154.74,168.2,329600
1/10/2008,169.86,179.67,159.95,175.07,367600
1/11/2008,169.76,180.19,167.87,173.08,386400
1/14/2008,177.44,178.72,170.95,175.03,155600
1/15/2008,171,171.57,163.55,164.74,262200
1/16/2008,163.65,174.74,163.55,169.48,454600
1/17/2008,170.38,170.38,152.55,155.73,508800
1/18/2008,159.81,159.81,142.13,147.01,543200
1/22/2008,129.47,161.7,129.47,154.97,571600
1/23/2008,148.62,177.16,146.34,175.12,968600
1/24/2008,178.82,180.71,172.51,178.87,690400
1/25/2008,183.94,183.94,166.54,169.48,485200
1/28/2008,168.91,180.1,163.27,179.39,381000
1/29/2008,182.33,186.26,176.26,184.89,487800
1/30/2008,184.27,194.37,176.4,181.38,955400
1/31/2008,174.13,193.89,172.32,193.66,936600
2/1/2008,193.47,198.92,190.01,198.35,552000
2/4/2008,197.12,197.12,188.2,189.63,308000
2/5/2008,181.33,183.56,173.03,174.46,729800
2/6/2008,176.45,178.01,168.48,170.19,488400
2/7/2008,167.01,177.78,166.11,174.65,585600
2/8/2008,173.89,173.89,163.55,167.73,473800
2/11/2008,171.8,171.8,158.81,160.14,593800
2/12/2008,166.35,170.38,161.56,165.92,593600
2/13/2008,168.96,169.95,161.8,164.74,448000
2/14/2008,167.73,170.43,161.23,162.08,537000
2/15/2008,159.33,163.89,157.39,163.89,490400
2/19/2008,167.58,169.15,159.52,160.47,435800
2/20/2008,157.25,167.2,157.11,165.92,417400
2/21/2008,167.82,169.1,160.09,161.33,418400
2/22/2008,161.23,166.4,155.3,166.16,612400
2/25/2008,164.98,170.9,160,169.48,577000
2/26/2008,167.11,174.27,166.11,170.71,468200
2/27/2008,168.15,176.35,166.87,171.9,431200
2/28/2008,169.72,169.72,162.75,162.79,505800
2/29/2008,158.43,158.81,149.57,151.65,922200
3/3/2008,149.57,150.28,144.16,147.44,600000
3/4/2008,144.07,146.68,138.43,145.82,1005000
3/5/2008,146.96,150.37,140.75,143.41,1150000
3/6/2008,140.75,140.94,132.74,132.79,1141400
3/7/2008,129.89,139.9,128,132.83,1687200
3/10/2008,135.01,136.86,126.39,126.39,1496400
3/11/2008,139.14,144.73,132.08,141.18,2345000
3/12/2008,144.35,152.22,137.48,137.53,2092400
3/13/2008,131.84,142.55,128.76,141.18,3459800
3/14/2008,142.22,143.41,127,130.42,3547400
3/17/2008,113.97,129.61,113.82,125.72,4017000
3/18/2008,137.34,146.68,133.88,146.68,3449200
3/19/2008,148.15,152.74,139.99,141.32,3255400
3/20/2008,142.88,159.76,142.22,156.21,2339000
3/24/2008,160.76,168.86,158.81,160.99,2690800
3/25/2008,159.65,163.55,153.61,160.69,1826400
3/26/2008,156.51,157.08,149.66,150.23,2655600
3/27/2008,152.75,153.42,144.62,145.38,2666400
3/28/2008,145.9,148.47,138.87,139.48,2490600
3/31/2008,138.01,146.14,136.73,141.96,2569600
4/1/2008,150.23,161.88,149.76,159.93,3761400
4/2/2008,162.03,165.97,157.84,160.5,3361000
4/3/2008,156.41,163.21,155.65,161.55,2564800
4/4/2008,160.98,161.26,155.46,156.41,2811400
4/7/2008,161.93,163.83,157.56,159.08,2158200
4/8/2008,156.13,158.32,152.56,154.23,2083200
4/9/2008,155.37,156.22,147.81,149.23,2371800
4/10/2008,147.38,152.09,145.29,148.33,2411600
4/11/2008,143.43,149.38,139.58,141.58,2668200
4/14/2008,140.96,141.48,135.73,137.39,2527600
4/15/2008,140.29,141.62,135.39,138.2,2356800
4/16/2008,144.71,148.38,143.34,146.85,2204800
4/17/2008,145.43,153.08,144.57,152.18,2252400
4/18/2008,161.12,162.64,155.27,156.18,3383400
4/21/2008,154.23,154.94,150.47,151.94,1639800
4/22/2008,150.71,151.75,146.95,148.38,1857400
4/23/2008,149.9,151.42,145.33,147.57,2356800
4/24/2008,148.57,158.89,148.23,157.65,3578400
4/25/2008,160.55,163.17,155.75,161.88,2404800
4/28/2008,162.64,166.45,159.65,161.74,1805800
4/29/2008,162.12,163.74,159.03,160.69,1782200
4/30/2008,160.36,163.59,156.37,157.56,2691200
5/1/2008,157.98,170.44,157.22,169.92,2834200
5/2/2008,176.01,177.01,168.16,170.63,3313800
5/5/2008,168.83,169.97,164.36,166.69,1694400
5/6/2008,161.93,169.78,160.12,168.3,2656000
5/7/2008,169.4,169.63,156.94,158.08,2278400
5/8/2008,159.08,159.12,151.18,152.61,2870400
5/9/2008,150.61,156.79,149.61,151.8,2287200
5/12/2008,152.8,156.89,151.71,156.27,1864600
5/13/2008,157.56,157.65,151.9,152.75,2232600
5/14/2008,155.03,156.94,153.94,155.03,1557000
5/15/2008,155.22,159.08,153.08,158.98,1426600
5/16/2008,159.55,159.6,153.13,155.18,1862600
5/19/2008,155.13,158.84,152.28,154.51,1977400
5/20/2008,151.66,151.71,146.38,147.66,2550200
5/21/2008,147.52,149.04,139.67,140.29,3385600
5/22/2008,139.44,144.95,139.15,142.81,2255600
5/23/2008,141.24,141.29,137.87,138.2,2667600
5/27/2008,137.91,141.53,137.44,139.82,2521000
5/28/2008,142.76,142.76,135.44,139.1,3130600
5/29/2008,138.2,144.81,138.2,143.05,2723600
5/30/2008,145.19,145.76,140.77,140.86,1816000
6/2/2008,139.58,139.96,133.82,136.68,2486200
6/3/2008,138.39,139.53,132.02,135.11,3502000
6/4/2008,134.35,138.68,132.64,133.44,3698000
6/5/2008,135.3,139.67,134.54,139.67,2918200
6/6/2008,136.63,136.77,126.22,126.26,5420200
6/9/2008,127.45,128.36,118.65,122.13,4963600
6/10/2008,119.7,125.55,118.51,123.08,5306800
6/11/2008,123.84,124.17,115.47,116.09,5231600
6/12/2008,117.85,123.27,116.61,120.51,5147400
6/13/2008,122.74,124.84,118.23,124.5,4954200
6/16/2008,122.6,128.93,121.17,127.07,3174400
6/17/2008,129.92,130.21,119.8,119.84,4565800
6/18/2008,116.56,119.41,114.23,116.99,6275800
6/19/2008,117.08,118.75,112.28,118.32,6138400
6/20/2008,114.61,118.13,112.04,112.76,6965000
6/23/2008,113.99,114.52,106.81,106.81,6655800
6/24/2008,107.61,112.3,104.8,109.67,11989600
6/25/2008,111.34,117.02,109.72,110.43,9388600
6/26/2008,105.51,107.66,101.88,102.03,9738800
6/27/2008,102.36,103.89,97.54,98.73,6390000
6/30/2008,99.64,100.07,95.48,96.2,5942800
7/1/2008,93.71,97.77,90.75,96.68,11741200
7/2/2008,98.2,100.4,93.86,93.86,7280400
7/3/2008,96.15,96.87,91.8,93.33,4299800
7/7/2008,95.05,96.39,85.5,86.45,9061200
7/8/2008,88.41,98.35,86.17,98.35,10618000
7/9/2008,98.54,99.26,87.65,88.75,9002200
7/10/2008,86.45,89.89,84.35,86.79,11899000
7/11/2008,82.35,87.7,77.62,85.02,15358200
7/14/2008,87.22,88.32,74.75,74.75,15108600
7/15/2008,73.18,78.81,67.25,70.45,21084400
7/16/2008,75.04,87.22,72.41,82.63,20927400
7/17/2008,92.9,98.78,87.79,93.43,28262800
7/18/2008,98.68,100.69,93.33,97.44,15195200
7/21/2008,101.64,103.32,96.53,97.54,14028000
7/22/2008,92.86,109.38,90.56,107.95,17191600
7/23/2008,107.23,118.41,106.56,113.06,20646200
7/24/2008,113.92,114.16,98.25,99.83,14436400
7/25/2008,99.54,103.27,94.86,98.49,13211600
7/28/2008,97.49,101.36,89.61,90.99,12367400
7/29/2008,91.42,103.89,89.42,102.26,16138400
7/30/2008,106.52,108.86,99.83,106.32,17528400
7/31/2008,102.6,107.61,101.84,104.08,12659200
8/1/2008,105.08,106.28,99.3,105.32,11678000
8/4/2008,102.74,105.47,99.4,102.46,10132600
8/5/2008,105.8,112.1,104.46,111.58,9914400
8/6/2008,108.76,111.72,106.95,110.72,10469400
8/7/2008,106.28,108.62,99.06,101.55,10777600
8/8/2008,99.45,109.05,99.35,107.09,10313600
8/11/2008,106.99,115.5,105.56,111.58,10915800
8/12/2008,108.71,108.86,99.88,103.12,10941200
8/13/2008,99.4,99.73,93.57,96.58,15616400
8/14/2008,95.29,102.26,94.81,100.83,11920400
8/15/2008,102.84,105.99,101.02,102.6,9319000
8/18/2008,101.88,102.17,95.82,96.72,9344400
8/19/2008,93.71,94.62,89.56,91.85,10571600
8/20/2008,91.37,93.71,88.37,93.52,13317200
8/21/2008,89.51,92.86,88.89,91.52,9546400
8/22/2008,95.39,96.72,93.14,96.58,9924200
8/25/2008,94.72,95.05,91.14,91.57,7688000
8/26/2008,91.18,93.76,89.42,91.95,8015600
8/27/2008,92.43,95.72,91.28,95.05,6978800
8/28/2008,97.82,102.93,96.82,102.17,8578400
8/29/2008,100.31,104.08,100.02,100.45,7629800
9/2/2008,107.61,109.1,102.07,104.89,10950800
9/3/2008,104.32,108.62,102.84,108.62,11118000
9/4/2008,105.8,107.28,98.83,99.4,11951000
9/5/2008,95.72,104.94,95.53,104.75,15761400
9/8/2008,119.27,119.56,105.8,112.82,26636000
9/9/2008,109.33,113.92,100.31,100.69,19610800
9/10/2008,102.84,103.79,95.43,98.68,16098000
9/11/2008,93.38,102.69,92,102.69,18737200
9/12/2008,98.54,104.08,97.63,101.36,17093200
9/15/2008,90.71,97.49,84.54,84.59,27106800
9/16/2008,77.9,93.91,77.24,93.71,32362000
9/17/2008,88.17,89.23,76.52,79.58,38697200
9/18/2008,82.39,94.53,69.26,89.65,53322200
9/19/2008,113.68,118.84,97.92,104.89,21756200
9/22/2008,107.18,107.23,93.29,94.72,12809600
9/23/2008,93.38,96.58,89.56,92.14,14535800
9/24/2008,95.06,95.45,87.28,90.07,11918200
9/25/2008,91.7,96.36,90.41,93.24,16606000
9/26/2008,88.44,98.66,87,97.27,16521200
9/29/2008,92.04,93.29,74.66,77.97,25147200
9/30/2008,81.04,86.08,76.43,84.21,15981600
10/1/2008,84.16,90.26,82.77,89.73,16717400
10/2/2008,89.01,90.12,81.62,82.82,14160200
10/3/2008,87,89.35,75.91,76.58,24263200
10/6/2008,70.38,72.4,63.18,70.67,26384000
10/7/2008,71.63,71.73,56.41,56.94,32733800
10/8/2008,51.56,59.25,50.89,51.61,34703000
10/9/2008,55.89,56.89,39.99,40.38,36903200
10/10/2008,38.03,47.2,35.1,45.51,67525000
10/13/2008,52.81,54.54,46.81,52.33,30070800
10/14/2008,59.68,62.41,55.26,57.9,40598600
10/15/2008,54.4,56.56,47.77,48.4,23497800
10/16/2008,50.27,50.8,42.25,49.02,36764000
10/17/2008,47.82,53.53,46.86,49.6,23416000
10/20/2008,50.36,51.32,46.81,50.6,14537800
10/21/2008,48.88,52.28,48.73,49.74,13164200
10/22/2008,46.96,47.82,40.04,43.16,21101600
10/23/2008,43.02,43.79,36.78,41.48,24332000
