Data, Open, High, Low, Close, Volume
2/1/2007,58.01,58.03,58.01,58.03,200
2/2/2007,57.61,57.61,57.61,57.61,100
2/5/2007,57.97,57.97,57.68,57.83,10100
2/6/2007,58.12,58.12,58.12,58.12,200
2/7/2007,58.28,58.28,58.07,58.07,5600
2/8/2007,57.53,58.2,57.53,58.2,20000
2/9/2007,58.2,58.2,58.2,58.2,0
2/12/2007,58.2,58.2,58.2,58.2,0
2/13/2007,59.47,60.07,59.39,60.07,15200
2/14/2007,60.14,60.65,60.14,60.65,5300
2/15/2007,60.88,61.34,60.88,61.34,900
2/16/2007,61.29,61.29,61.27,61.27,500
2/20/2007,60.75,61.65,60.72,61.59,5900
2/21/2007,61.34,61.34,61.34,61.34,300
2/22/2007,63.62,64.09,62.48,62.93,26400
2/23/2007,63.01,63.42,62.71,63.42,21800
2/26/2007,65.22,65.22,63.69,63.76,13300
2/27/2007,60.65,61.15,55.89,58.36,196300
2/28/2007,57.45,59.48,55.99,58.37,3700
3/1/2007,56.65,58.63,56.65,58.63,600
3/2/2007,57.96,57.96,55.58,55.97,700
3/5/2007,54.9,55.57,54.35,54.35,2300
3/6/2007,56.01,56.54,56.01,56.54,1900
3/7/2007,56.73,57.32,56.32,56.5,2900
3/8/2007,57.84,58.1,57.59,57.59,1300
3/9/2007,58.1,58.4,58.04,58.4,2300
3/12/2007,58.99,59.32,58.99,59.18,800
3/13/2007,58.24,58.24,55.82,55.89,2300
3/14/2007,56.65,56.73,55.95,56.72,2200
3/15/2007,58.57,59.3,58.54,58.54,3700
3/16/2007,58.24,58.24,57.45,57.45,2900
3/19/2007,58.27,59.18,58.27,59.11,3800
3/20/2007,60,60.31,59.84,59.96,2000
3/21/2007,59.94,61.72,59.94,61.72,500
3/22/2007,61.59,61.86,61.3,61.3,1500
3/23/2007,61.56,61.79,61.36,61.43,1400
3/26/2007,61.87,62.7,60.58,62.69,3500
3/27/2007,62.11,62.11,61.18,61.19,400
3/28/2007,60.7,60.75,59.66,60.65,3700
3/29/2007,61.25,61.42,60.93,60.93,2100
3/30/2007,60.87,60.87,60.87,60.87,500
4/2/2007,61.06,61.2,61.06,61.2,700
4/3/2007,62.73,62.73,62.73,62.73,200
4/4/2007,62.94,63.05,62.89,62.89,1100
