Data, Open, High, Low, Close, Volume
1/4/2011,318.48,320.84,318.48,318.48,26800
1/5/2011,318.64,318.64,312.6,313.64,2100
1/6/2011,312.52,314.24,311.6,314.24,2300
1/7/2011,311.92,314.92,311.92,314.92,2700
1/10/2011,318.08,318.08,313.52,314.04,500
1/11/2011,311.48,313.08,311.4,313.08,300
1/12/2011,308.32,309.12,304.28,305.2,3600
1/13/2011,304,304,301.88,303.12,600
1/14/2011,301.92,301.92,296.08,296.84,2100
1/18/2011,290.04,290.64,290.04,290.64,1500
1/19/2011,293.28,295.76,293.28,294.04,700
1/20/2011,299,300.12,294.88,296.88,1700
1/21/2011,292.48,296.28,292.16,296.28,500
1/24/2011,296.44,296.44,291.16,291.8,800
1/25/2011,294.88,294.88,290.04,290.04,400
1/26/2011,284.6,284.6,282.92,282.92,1400
1/27/2011,282.84,282.84,278.72,278.92,1100
1/28/2011,276.2,288.36,276.2,287.92,3200
1/31/2011,285.6,285.8,285.2,285.2,300
2/1/2011,277.6,277.6,274.4,274.84,1800
2/2/2011,274.24,274.24,274.2,274.24,1600
2/3/2011,277.48,277.68,272.6,272.6,800
2/4/2011,272.8,272.8,268.8,269.24,3700
2/7/2011,267.8,267.8,264,265.84,2400
2/8/2011,265.68,265.68,262.24,262.24,2300
2/9/2011,263.76,263.76,260.8,260.8,2300
2/10/2011,264.92,264.92,259.08,259.12,4300
2/11/2011,259.96,259.96,255.24,255.76,900
2/14/2011,254.44,255.96,254.44,255.24,1700
2/15/2011,256.52,257.64,255.8,257.36,900
2/16/2011,255.76,256.8,255.76,256.8,100
2/17/2011,259.92,262.64,259.92,261.52,1200
2/18/2011,263.64,267.92,262.76,265.8,1000
2/22/2011,276.24,283.36,272.92,281.56,3000
2/23/2011,281.52,289.04,280.96,289.04,1800
2/24/2011,287.84,289.52,287.04,289.36,1100
2/25/2011,282.2,282.2,278.48,278.96,600
2/28/2011,275.72,275.72,273.52,273.72,500
3/1/2011,277.28,284.96,276.8,284.84,2600
3/2/2011,282.88,284.04,282.48,284,700
3/3/2011,277.6,277.6,276,276.4,1200
3/4/2011,274.96,285.48,274.96,283.24,1700
3/7/2011,280.76,284.88,280.76,284.88,400
3/8/2011,285.24,285.24,283.8,283.84,100
3/9/2011,289.32,289.32,285.48,287.32,1500
3/10/2011,291.96,294.4,291.96,293.44,4900
3/11/2011,300.36,300.36,289.04,289.52,4100
3/14/2011,293,296.56,293,293.04,1600
3/15/2011,309.68,310.48,299.04,299.2,3600
3/16/2011,299.08,319.36,298.76,308.76,11600
3/17/2011,301.96,303.52,298.28,300.6,1100
3/18/2011,292.84,295.6,291.6,292.6,3200
3/21/2011,279.68,281.56,278.64,279.84,900
3/22/2011,279.16,279.88,278,278.8,200
3/23/2011,279.12,280.68,274.88,274.88,600
3/24/2011,273.4,273.56,271.28,272.08,700
3/25/2011,271.8,275.76,270.96,275.68,6200
3/28/2011,275.04,275.8,272.92,275.8,3400
3/29/2011,274.76,277.92,271.96,272.4,6000
3/30/2011,268.92,270.2,267.8,268.6,1700
3/31/2011,269.04,270.2,267.96,269.52,3100
4/1/2011,265.04,269.56,263.64,268.24,4900
4/4/2011,267.8,269.72,266.6,267.08,5700
4/5/2011,268.2,268.2,265.24,266.92,7100
4/6/2011,265.44,269.28,264.6,267.08,11100
4/7/2011,266.6,271.56,265.68,269.44,8300
4/8/2011,267.04,275.2,266.56,273.52,20600
4/11/2011,272.6,276.44,270.68,274.64,13600
4/12/2011,277.04,279.12,274.48,276.84,14000
4/13/2011,274.12,276.92,272.72,274.24,15200
4/14/2011,277.2,278,272.84,274.04,8300
4/15/2011,273.52,274.56,270.64,272.84,12200
4/18/2011,282.12,284,275.92,276.56,28400
4/19/2011,275.6,276.2,272.2,272.6,12800
4/20/2011,268.48,270.32,266.76,268.76,8300
4/21/2011,267.16,269.8,265.4,265.76,12800
4/25/2011,261.96,263.68,261.28,262.72,5800
4/26/2011,260.08,260.36,257.16,257.92,9300
4/27/2011,257.24,260.12,254.08,254.52,14700
4/28/2011,256.24,256.32,253.36,253.72,13700
4/29/2011,253.28,253.28,250.84,252.04,12300
5/2/2011,248.92,255.84,248.92,255.16,5800
5/3/2011,256.16,260.88,255.8,258.56,7300
5/4/2011,256.64,263.12,256.48,259.08,16800
5/5/2011,262.88,264.24,258.56,262.56,13300
5/6/2011,256.2,262.2,254.24,259.4,19700
5/9/2011,259.72,260.08,254.72,255.56,6800
5/10/2011,253.84,254.92,251.16,251.64,7300
5/11/2011,251.88,257.56,251.44,253.48,10400
5/12/2011,255.28,257.92,250.64,252.08,15800
