Data, Open, High, Low, Close, Volume
1/4/2011,395.7,406.75,395.7,396.15,22400
1/5/2011,400.25,400.5,385.9,387.75,14800
1/6/2011,387.2,393.4,384.35,389.4,16600
1/7/2011,386.2,400.05,380.9,390.2,8600
1/10/2011,398.2,404.35,388.8,389.4,14000
1/11/2011,383.6,386.3,377.55,378.65,12100
1/12/2011,370.55,371.35,360.8,361.75,8900
1/13/2011,361.4,365.2,357.45,357.5,2800
1/14/2011,360,360,339,342.75,9300
1/18/2011,340.1,341.9,332.1,332.3,4000
1/19/2011,334.05,356.25,333.2,349.6,10900
1/20/2011,351.95,360.2,344.65,346.55,19600
1/21/2011,336.95,353.1,336.85,349.85,6800
1/24/2011,350.5,352.25,341.55,342.3,7000
1/25/2011,345.95,350.85,337.95,337.95,5000
1/26/2011,334.7,336.85,325.8,327.4,6400
1/27/2011,327.85,329.25,320.5,321.25,2800
1/28/2011,320.05,353.05,318.15,348.15,12300
1/31/2011,343.55,349.05,341.9,346.75,5300
2/1/2011,338.9,338.9,326.9,330.25,7400
2/2/2011,332.8,333.5,324.55,328.9,3900
2/3/2011,330.15,338.4,324,325,3400
2/4/2011,323.95,324.75,316.75,317.35,6600
2/7/2011,313.7,313.7,308.05,311.5,4100
2/8/2011,310.95,315,306.3,307.25,4600
2/9/2011,310.55,315,308.05,308.75,11000
2/10/2011,316.85,316.85,307.55,308.5,6400
2/11/2011,312,312,303.25,303.5,8400
2/14/2011,303.65,305.1,300.75,300.8,7700
2/15/2011,302.45,305.15,301.4,304.85,6000
2/16/2011,300.6,308.45,297.75,308.45,9500
2/17/2011,310.2,313.75,309.9,311.45,9700
2/18/2011,310.55,317.5,310.5,314.7,7400
2/22/2011,333.85,355.75,322.8,354,22000
2/23/2011,354.35,379.15,350.55,369.65,22500
2/24/2011,369.15,376.5,362.35,364.75,5400
2/25/2011,354.8,354.8,342,342.45,9600
2/28/2011,334.05,334.05,325.4,327.7,13000
3/1/2011,324.55,352.3,323.75,351.65,19700
3/2/2011,352.85,356.35,342.95,353,15700
