Data, Open, High, Low, Close, Volume
8/7/2014,39.84,39.84,39.84,39.84,100
8/11/2014,39.73,39.95,39.67,39.91,7000
8/12/2014,40,40.02,39.95,39.97,7200
8/13/2014,39.77,39.79,39.7,39.7,11300
8/14/2014,39.8,39.8,39.67,39.78,2700
8/15/2014,39.7,39.85,39.56,39.81,7600
8/18/2014,39.81,39.81,39.81,39.81,0
8/19/2014,39.5,39.5,39.5,39.5,100
8/20/2014,39.53,39.53,39.53,39.53,300
8/21/2014,39.53,39.53,39.53,39.53,0
8/22/2014,39.53,39.53,39.53,39.53,200
8/25/2014,39.5,39.51,39.45,39.45,1200
8/26/2014,39.25,39.38,39.25,39.37,300
8/27/2014,39.47,39.47,39.3,39.3,2300
8/28/2014,39.41,39.41,39.41,39.41,100
8/29/2014,39.43,39.43,39.43,39.43,500
9/2/2014,39.43,39.44,39.23,39.23,23800
9/3/2014,39.29,39.35,39.29,39.3,600
9/4/2014,39.34,39.61,39.34,39.61,4600
9/5/2014,39.58,39.58,39.44,39.52,2400
9/8/2014,39.52,39.52,39.52,39.52,800
9/9/2014,39.56,39.78,39.56,39.78,2100
9/10/2014,39.61,39.61,39.6,39.6,1100
9/11/2014,39.65,39.71,39.65,39.71,700
9/12/2014,39.77,39.82,39.77,39.82,3100
9/15/2014,39.86,39.91,39.86,39.91,700
9/16/2014,39.91,39.94,39.78,39.78,1400
9/17/2014,39.74,39.79,39.58,39.65,2400
9/18/2014,39.65,39.65,39.65,39.65,0
9/19/2014,39.51,39.51,39.5,39.5,800
9/22/2014,39.53,39.71,39.53,39.6,2800
9/23/2014,39.7,39.85,39.7,39.85,5000
9/24/2014,39.81,39.92,39.81,39.92,2500
9/25/2014,40,40.05,40,40.03,7500
9/26/2014,40.13,40.18,40.07,40.18,1400
9/29/2014,40.36,40.36,40.21,40.29,4300
9/30/2014,40.06,40.06,39.82,39.82,2400
10/1/2014,40.95,41.03,39.89,39.89,11200
10/2/2014,39.93,39.93,39.8,39.85,4200
10/3/2014,39.53,39.53,39.53,39.53,400
10/6/2014,39.62,39.62,39.6,39.6,500
10/7/2014,39.65,39.79,39.55,39.79,8500
10/8/2014,39.66,39.77,39.59,39.59,10900
10/9/2014,39.62,39.8,39.52,39.8,16600
10/10/2014,39.65,40.01,39.65,40.01,11100
10/13/2014,40.4,40.4,39.3,40.02,1200
10/14/2014,40.02,40.02,40.02,40.02,0
10/15/2014,40.3,40.3,40.01,40.16,4500
10/16/2014,40.32,40.39,40.12,40.13,1600
10/17/2014,39.78,39.78,39.78,39.78,50200
10/20/2014,39.55,39.55,39.55,39.55,200
10/21/2014,39.55,39.55,39.55,39.55,0
10/22/2014,39.44,39.46,39.44,39.45,3200
10/23/2014,39.3,39.32,39.25,39.25,3400
10/24/2014,39.22,39.26,39.22,39.26,2800
10/27/2014,39.32,39.32,39.32,39.32,200
10/28/2014,39.4,39.4,39.15,39.22,1200
10/29/2014,39.24,39.24,39.24,39.24,100
10/30/2014,39.24,39.24,39.24,39.24,0
10/31/2014,39.09,39.26,39.08,39.26,3100
11/3/2014,39.26,39.26,39.26,39.26,0
11/4/2014,39.23,39.25,39.23,39.25,700
11/5/2014,39.17,39.2,39.17,39.19,1800
11/6/2014,39.13,39.13,39.1,39.12,1100
11/7/2014,39.16,39.16,39.11,39.15,1000
11/10/2014,39.06,39.06,39.03,39.06,4600
11/11/2014,39.04,39.09,38.99,38.99,26300
11/12/2014,39.06,39.06,39,39,1000
11/13/2014,39.04,39.12,39.04,39.06,9700
11/14/2014,39.15,39.15,39.13,39.14,300
11/17/2014,39.16,39.16,39.16,39.16,500
11/18/2014,39.16,39.16,39.16,39.16,0
11/19/2014,39.25,39.28,39.24,39.26,4100
11/20/2014,39.26,39.26,39.26,39.26,0
11/21/2014,39.06,39.06,39.04,39.06,4100
11/24/2014,38.92,38.93,38.92,38.93,3700
11/25/2014,38.93,38.93,38.93,38.93,0
11/26/2014,38.93,38.93,38.93,38.93,0
11/28/2014,38.93,38.93,38.93,38.93,0
12/1/2014,38.98,39,38.97,39,1300
12/2/2014,38.97,38.97,38.97,38.97,600
12/3/2014,38.92,38.92,38.85,38.85,1500
12/4/2014,38.91,38.92,38.91,38.92,2200
12/5/2014,39,39.01,39,39.01,1100
12/8/2014,39.05,39.23,39.05,39.23,5800
12/9/2014,39.45,39.45,39.22,39.22,3700
12/10/2014,39.41,39.6,39.41,39.59,28700
12/11/2014,39.62,39.64,39.38,39.56,8100
12/12/2014,39.8,39.87,39.78,39.87,17600
12/15/2014,39.88,40.03,39.88,39.99,5500
12/16/2014,40.08,40.1,39.91,40.03,3000
12/17/2014,39.58,39.58,39.38,39.52,17200
12/18/2014,39.21,39.25,39.21,39.25,8900
12/19/2014,39.1,39.1,38.95,38.95,7900
12/22/2014,38.98,39.04,38.97,38.98,15400
12/23/2014,38.98,38.98,38.98,38.98,0
12/24/2014,38.98,38.98,38.98,38.98,0
12/26/2014,38.94,38.99,38.92,38.99,10000
12/29/2014,38.85,38.85,38.83,38.83,17900
12/30/2014,39.06,39.11,39.05,39.11,3500
12/31/2014,39.11,39.11,39.11,39.11,0
1/2/2015,39.09,39.19,39.09,39.19,1100
1/5/2015,39.4,39.4,39.38,39.38,800
1/6/2015,39.38,39.38,39.38,39.38,0
1/7/2015,39.42,39.42,39.42,39.42,1000
1/8/2015,39.42,39.42,39.42,39.42,0
1/9/2015,39.3,39.3,39.26,39.26,2200
1/12/2015,39.26,39.3,39.21,39.28,7800
1/13/2015,39.21,39.3,39.19,39.3,3000
1/14/2015,39.44,39.48,39.37,39.37,7200
1/15/2015,39.3,39.49,39.3,39.49,11400
