Data, Open, High, Low, Close, Volume
6/4/2009,59.33,60.39,59.33,60,5700
6/5/2009,63.32,63.32,59.73,61.22,110200
6/8/2009,60.22,60.22,57.5,59.38,17900
6/9/2009,58.38,58.84,57.22,58.46,24500
6/10/2009,62.99,63.11,59.99,61.44,103400
6/11/2009,63.41,66.51,63.41,64.96,77700
6/12/2009,62.59,63.13,61.77,63.13,46500
6/15/2009,59.96,59.98,57.25,58.64,50800
6/16/2009,57.99,58.52,54.93,55.4,30600
6/17/2009,55.22,56.41,54.13,55.75,21400
6/18/2009,55.28,56.13,53.96,55.3,34100
6/19/2009,56.4,56.56,55.3,55.63,31400
6/22/2009,54.8,55.48,52.6,53.14,76800
6/23/2009,52.74,53.14,50.9,52.18,24300
6/24/2009,55.98,57.19,55,55.46,80600
6/25/2009,55.61,58.57,55.11,58.42,49400
6/26/2009,59.68,60.27,58.87,60.07,45800
6/29/2009,60.69,61.5,59.74,60.98,30300
6/30/2009,60.24,60.32,58.25,59.76,28300
7/1/2009,61.63,62.37,60.89,60.89,32900
7/2/2009,57.86,57.96,56.6,56.99,42700
7/6/2009,57.31,59.25,56.65,59.22,22700
7/7/2009,57.38,57.38,54.79,54.9,28100
7/8/2009,55.07,55.68,52,54.17,38900
7/9/2009,56.41,56.73,55.32,56.25,30200
7/10/2009,55.05,55.71,53.82,54.99,18200
7/13/2009,53.53,54.94,51.68,54.62,36700
7/14/2009,56.68,57.01,56.07,56.64,22600
7/15/2009,59.19,61.94,59.19,61.55,40400
7/16/2009,59.97,61.57,59.64,60.8,22100
7/17/2009,62.01,63.09,61.55,62.65,37100
7/20/2009,67.1,67.99,66.36,67.5,94300
7/21/2009,67.88,68.04,64.89,66.87,48600
7/22/2009,64.93,66.99,64.74,65.98,22400
7/23/2009,68.4,72.38,68.24,71.45,111400
7/24/2009,70.48,72.15,69.81,72.15,57500
7/27/2009,72.63,73.77,71.5,73.39,52300
7/28/2009,73.68,74.39,71.8,73.9,56400
7/29/2009,69.93,70.18,67.25,68.68,108300
7/30/2009,71.33,72.94,71,71,62300
7/31/2009,70.88,71.63,69.68,70.92,63300
8/3/2009,75.06,76.7,74.34,76.29,59800
8/4/2009,72.55,74.65,72.54,73.84,56700
8/5/2009,71.66,71.93,68.55,70.34,83500
8/6/2009,72.21,72.6,69.42,70.7,45700
8/7/2009,70.35,71.29,68.8,70.36,56700
8/10/2009,70.74,71.87,69.34,70.66,29300
8/11/2009,70.73,70.88,67.75,68.92,26800
8/12/2009,68.14,70.42,67.87,69.39,39800
8/13/2009,70.39,70.84,68.64,70.1,39400
8/14/2009,70.14,70.14,66.6,67.75,41100
8/17/2009,62.84,62.84,60.56,61.43,81200
8/18/2009,63.2,64.62,62.82,64.11,54700
8/19/2009,61.49,64.54,61.36,64.33,53200
8/20/2009,65.11,66.45,64.82,66.21,46600
8/21/2009,65.82,66.8,64.74,66.77,64200
8/24/2009,67.17,67.64,65.32,65.81,55500
8/25/2009,66.94,67.18,65.64,65.86,19400
8/26/2009,65.29,65.97,64.69,65.04,23100
8/27/2009,64.79,65.42,63.13,65.24,31000
8/28/2009,65.29,65.51,63.33,63.71,16300
8/31/2009,61.11,62.33,60.91,62.09,39300
9/1/2009,61.66,62.95,58.9,59.06,37600
9/2/2009,59.99,61.17,59.73,60.24,31300
9/3/2009,63,63.09,61.42,63.09,50400
9/4/2009,66.19,67.87,65.53,67.56,65200
9/8/2009,72.03,72.24,70.73,71.79,39100
9/9/2009,70.71,71.7,70.12,71.18,31500
9/10/2009,71.53,72.64,70.26,72.48,52100
9/11/2009,73.34,73.34,71.59,71.94,17000
9/14/2009,70.14,72.54,70,72.14,34700
9/15/2009,71.26,72.06,70.8,71.91,14400
9/16/2009,74.57,76.75,74.12,76.7,67400
9/17/2009,76.5,77.82,75.4,75.9,28500
9/18/2009,76.49,76.54,74.97,75.34,27800
9/21/2009,72.94,73.5,71.85,73.05,49200
9/22/2009,74.41,74.9,73.6,74.53,21000
9/23/2009,73.64,74.22,71.5,71.66,31200
9/24/2009,69.94,70.4,66.5,67.75,58700
9/25/2009,68.05,69.24,67.14,68.05,39400
9/28/2009,67.01,69.15,66.8,68.42,79000
9/29/2009,68.64,69.37,67.66,68.44,35100
9/30/2009,67.61,67.9,64.98,66.92,62200
10/1/2009,66.78,66.78,62.69,62.85,70700
10/2/2009,61.32,63.1,60.98,62.32,73700
10/5/2009,64.2,66.25,63.54,65.29,45100
10/6/2009,68.28,70.07,68,68.64,58200
10/7/2009,70.11,70.81,69.85,70.31,70400
10/8/2009,72.88,73.57,71.99,72.78,65200
10/9/2009,72.97,73.6,72.61,73.26,24000
10/12/2009,72.7,73.11,71.59,71.82,34600
10/13/2009,72.43,73,71.4,72.79,30200
10/14/2009,76.35,78,76.17,77.88,91500
10/15/2009,76.29,77.7,76.29,77.59,25800
10/16/2009,74.81,74.93,73.64,74.18,36600
10/19/2009,77.2,78.86,76.77,78.5,39000
10/20/2009,79.01,79.01,76.54,77.6,27100
10/21/2009,76.85,79.57,76.52,76.52,20800
10/22/2009,76.49,78,75.5,77.9,18200
10/23/2009,80.61,80.74,77.39,78.22,56600
10/26/2009,79.48,80.67,76.52,76.86,69700
10/27/2009,77.59,78.59,76.37,76.46,48300
10/28/2009,74.07,74.28,70,70.73,84300
10/29/2009,72.09,74.72,72.09,73.89,52200
10/30/2009,73.55,73.65,68.25,68.93,72500
11/2/2009,72,73.98,70.46,72.16,61600
11/3/2009,69.36,72.1,69.36,71.72,48000
11/4/2009,75.27,76.41,73.67,74.17,59800
11/5/2009,75.17,77.32,75.17,77.29,30400
11/6/2009,76.11,78.13,75.62,77.04,50100
11/9/2009,80.5,82.85,80.5,82.74,72200
11/10/2009,80.92,81.68,80.56,81.39,49200
11/11/2009,82.39,82.91,81.18,81.8,40800
11/12/2009,80.79,81.31,78.23,78.64,59800
11/13/2009,80.66,82.25,79.93,81.44,41600
11/16/2009,83.77,85.93,83.72,85,58300
11/17/2009,84,84.87,82.9,84.48,42300
11/18/2009,83.48,83.75,81.69,82.44,39600
11/19/2009,80.03,80.16,77.61,78.71,74900
11/20/2009,77.55,78.62,77.43,78.52,37300
11/23/2009,82.62,83.38,81.63,82.14,46900
11/24/2009,79.62,80.2,78.39,80.2,59100
11/25/2009,80.64,81.08,79.83,80.62,58000
11/27/2009,71.73,74.86,70.34,73.52,143800
11/30/2009,74.88,75.75,73.89,75.28,66200
12/1/2009,78.72,80.27,78.6,79.3,41600
12/2/2009,79.83,80.83,79.33,79.72,11200
12/3/2009,80.07,80.81,78.49,78.7,29700
12/4/2009,81.76,82.89,79.08,80.89,35600
12/7/2009,78.97,80.06,78.63,78.67,28400
12/8/2009,75.96,76.31,74.5,75.12,48700
12/9/2009,74.55,75.09,73.41,74.77,24300
12/10/2009,74.72,75.15,74.3,74.48,14800
12/11/2009,75.18,75.32,73.92,74.75,19100
12/14/2009,75.46,75.96,75,75.33,20400
12/15/2009,73.79,75.01,73.35,73.77,38300
12/16/2009,73.13,73.79,72.55,72.81,33700
12/17/2009,70.08,70.23,68.75,68.87,72400
12/18/2009,67.9,68.36,66.79,67.85,42100
12/21/2009,67.12,68.53,67.12,68.17,50400
12/22/2009,68.14,69.07,67.66,68.04,35900
12/23/2009,69.28,69.94,68.73,69.92,45600
12/24/2009,71.14,71.65,70.85,71.4,15600
12/28/2009,71.66,71.86,70.37,70.74,23300
12/29/2009,70.79,71.1,70.12,70.39,10200
12/30/2009,69.62,70.37,69.61,70.37,17700
12/31/2009,72.43,72.74,71.03,71.17,20600
1/4/2010,73,74.14,73,74.14,42800
1/5/2010,76.66,77.26,76.06,77.11,50600
1/6/2010,78.57,79,76.79,78.93,36000
1/7/2010,77.93,77.93,75.82,76.67,35600
1/8/2010,76.21,77.12,75.35,77.12,30400
1/11/2010,78.04,78.16,76.18,77.19,31600
1/12/2010,74.91,74.91,72.53,73.69,64700
1/13/2010,72.21,72.23,70.71,71.83,32500
1/14/2010,70.52,70.73,69.9,70.53,78900
1/15/2010,69.8,69.8,68.15,68.49,95600
1/19/2010,70.55,72.8,70.55,72.67,80100
1/20/2010,68,68,66.05,67.35,106500
1/21/2010,65.21,65.46,62.01,62.23,164500
1/22/2010,63.2,63.41,60.46,60.49,86600
1/25/2010,62.78,63.08,61.6,62.4,72600
1/26/2010,58.82,60.28,57.99,58.85,112700
1/27/2010,57.42,58.64,56.41,58.16,78600
1/28/2010,60.07,60.37,57.59,58.73,96500
1/29/2010,60.49,60.54,57.8,58.32,48500
2/1/2010,59.99,62.07,59.99,62.07,58600
2/2/2010,61.45,63.02,60.77,62.75,55600
2/3/2010,63.25,63.88,62.34,62.75,34900
2/4/2010,60.31,60.31,56.83,56.9,114500
2/5/2010,55.45,56.18,53,55.95,147800
2/8/2010,55.64,56.45,54.57,54.57,77100
2/9/2010,57.33,59.5,56.65,58.35,202700
2/10/2010,59.14,60,57.51,58.94,35600
2/11/2010,60.07,62.11,59.42,62.11,43100
2/12/2010,59.52,60.18,58.24,59.8,127400
2/16/2010,61.19,62,60.09,61.67,118700
2/17/2010,62.86,62.9,61.51,62.21,64300
2/18/2010,61.1,62.56,61.1,62.22,13500
2/19/2010,59.55,60.83,59.37,60.1,62600
2/22/2010,61.24,61.5,60.38,60.56,33400
2/23/2010,60.78,61.22,58.59,58.81,80800
2/24/2010,59.98,61.15,59.84,60.99,42000
2/25/2010,58.39,60.31,57.87,60.1,135200
2/26/2010,61.1,62.1,60.48,61.74,24700
3/1/2010,64.35,65.26,64.13,65.05,67500
3/2/2010,66.05,67.05,65.66,65.99,74800
3/3/2010,66.1,67.1,65.58,65.61,27500
3/4/2010,64.1,64.41,63.07,63.7,30300
3/5/2010,65.55,66.76,65.13,66.7,58100
3/8/2010,67.19,67.72,67.16,67.23,41500
3/9/2010,66.88,68.38,66.88,67.33,37500
3/10/2010,67.3,68.68,67.3,67.91,33100
3/11/2010,66.71,67.67,65.8,67.54,47300
3/12/2010,67.45,67.55,66.47,66.96,25000
3/15/2010,65.65,65.88,64.61,65.55,46500
3/16/2010,65.55,66.42,64.96,66.1,33300
3/17/2010,68.08,69.09,67.66,68.26,44000
3/18/2010,68.09,68.2,67.04,67.71,17700
