Data, Open, High, Low, Close, Volume
12/9/2008,110.12,111.24,110.12,111.16,1000
12/10/2008,110.84,110.84,109.28,109.96,4500
12/11/2008,113.2,113.2,111.4,112.16,1600
12/12/2008,116.08,116.08,113.04,114.2,1500
12/15/2008,115.4,115.4,113.96,113.96,3100
12/16/2008,116,120,116,119.92,10000
12/17/2008,122.6,124.08,121.36,123.64,6500
12/18/2008,121.12,121.12,116.12,118.36,2900
12/19/2008,118.68,118.84,117,118.84,1200
12/22/2008,116.88,117.2,115.68,116.04,3900
12/23/2008,115.28,115.52,114,114.24,2400
12/24/2008,115.2,115.2,114.68,114.68,300
12/26/2008,114.44,114.92,114.4,114.4,700
12/29/2008,116.8,117,115.2,115.52,1900
12/30/2008,115.68,115.72,115.2,115.72,700
12/31/2008,115.52,115.52,113.48,114.64,1100
1/2/2009,114.48,114.48,109.96,110.64,4000
1/5/2009,108.8,108.92,107.28,107.52,6000
1/6/2009,104.88,106.8,104.68,106.48,1300
1/7/2009,108,109.76,108,109.4,3400
1/8/2009,112,113.16,112,112.52,1000
1/9/2009,113.44,115.28,113.32,115.28,2500
1/12/2009,116.68,118.56,116.68,118.12,5000
1/13/2009,117.4,118.28,115.92,118.04,12400
1/14/2009,118.04,119.28,117.68,118.04,2600
1/15/2009,117.72,118.28,116.48,116.48,1100
1/16/2009,114.36,115.6,113.52,113.76,2100
1/20/2009,115.2,116.84,115.2,116.68,5100
1/21/2009,115.84,122.96,115.44,116.6,12600
1/22/2009,120.84,120.84,117.28,118.56,4600
1/23/2009,118.8,118.8,117.04,118.4,4300
1/26/2009,118.36,118.4,116.64,118.32,4300
1/27/2009,118.64,119.04,117.8,118.12,3300
1/28/2009,116.64,116.64,114.68,114.68,2700
1/29/2009,110.92,119.76,110.92,115.48,4900
1/30/2009,116.12,116.12,115.36,115.68,6500
2/2/2009,117.44,117.44,115.88,116.48,500
2/3/2009,117.24,118.8,116.68,116.68,2300
2/4/2009,117.08,117.08,116.04,116.64,800
2/5/2009,115.56,115.56,110.72,112.32,6700
2/6/2009,110.84,111.36,109.68,110.04,2000
2/9/2009,110.76,111.84,110.76,111.84,2300
2/10/2009,112.48,114.8,112.08,114.52,12900
2/11/2009,114.4,114.52,113.84,114.52,2100
2/12/2009,114.24,114.52,113.32,113.6,2600
2/13/2009,111.16,111.16,110.08,110.36,2000
2/17/2009,110.4,110.4,108.72,109,2000
2/18/2009,107.12,107.12,105.64,106.04,900
2/19/2009,104.68,105.2,104.32,104.88,3100
2/20/2009,104.64,108.16,104.64,107.32,4300
2/23/2009,103.28,104.68,103.28,103.92,3100
2/24/2009,100.08,100.08,98.88,99.2,1900
2/25/2009,98.56,99.12,97.16,97.48,2300
2/26/2009,96.72,96.72,95.32,96.04,3700
2/27/2009,97.68,97.8,96.72,97.72,2700
3/2/2009,97.52,98.32,97.36,97.6,2300
3/3/2009,96.48,96.48,95.56,95.96,2900
3/4/2009,94.16,94.52,93.84,94.4,1800
3/5/2009,95.52,97.2,95.52,96.84,700
3/6/2009,97.24,97.24,96.4,96.4,3600
3/9/2009,94.4,95.16,94.4,94.92,1000
3/10/2009,95.72,96.4,95.2,95.56,1000
3/11/2009,96.48,98.52,96.44,98.52,11100
3/12/2009,97.84,97.84,95.88,97.2,2000
3/13/2009,96.24,96.36,96.12,96.36,500
3/16/2009,95.72,96.52,95.72,96.52,400
3/17/2009,94.76,95.6,94.76,95.6,700
3/18/2009,96.68,100.68,96.44,100.68,3100
3/19/2009,103.84,105.32,103.2,104.08,3500
3/20/2009,101.36,102.28,100.44,100.52,5800
3/23/2009,98.92,98.92,98,98.32,1300
3/24/2009,96.2,97.04,95.92,96.76,1800
3/25/2009,97.24,98.28,97.24,98,600
3/26/2009,95.8,95.8,94.92,95,500
3/27/2009,96.4,96.96,96.4,96.96,100
3/30/2009,98.56,98.6,97.48,98.28,1000
3/31/2009,96,96,94.08,94.44,1800
4/1/2009,94.68,95.36,94.64,95.12,500
4/2/2009,94.68,94.68,93.24,93.84,900
4/3/2009,92.68,93.12,92.04,92.16,1000
4/6/2009,91.4,91.48,90.64,91,300
4/7/2009,92,92,92,92,100
4/8/2009,92.32,93.44,92.32,93.44,700
4/9/2009,92.24,92.32,91.8,91.8,1100
4/13/2009,92.28,92.56,92.2,92.56,500
4/14/2009,94.04,95,94.04,94.92,500
4/15/2009,94,94.2,93.6,94.12,1000
4/16/2009,94.28,94.4,93.96,93.96,300
4/17/2009,93.96,94.48,93.6,93.76,800
4/20/2009,95.96,96.88,95.88,96.6,5800
4/21/2009,96.76,96.76,94.68,94.68,2200
4/22/2009,96.08,96.4,96.08,96.16,1200
4/23/2009,95.88,96.56,95.84,96.32,800
4/24/2009,97.8,98.4,97.44,97.92,1200
4/27/2009,99.16,99.2,98.52,98.6,2100
4/28/2009,99.84,99.84,99.28,99.64,4900
4/29/2009,98.6,98.76,97,97.2,3400
4/30/2009,95.56,95.88,94.32,95.12,5500
5/1/2009,93.64,94.12,93.44,93.64,2500
5/4/2009,93.28,94.56,93.28,94.56,2400
5/5/2009,94.6,94.8,94.44,94.48,1400
5/6/2009,94.52,95.56,94.52,95.56,2300
5/7/2009,93.8,94.36,93.8,94.28,1700
5/8/2009,94.48,95.48,94.44,95.32,2700
5/11/2009,97.12,97.6,96.92,97.2,14800
5/12/2009,98.68,99.92,98.56,99.28,4100
5/13/2009,99.96,101.76,99.84,101.76,2600
5/14/2009,101.12,101.24,100.6,100.76,4200
5/15/2009,101,102.68,101,101.84,6900
5/18/2009,100.92,100.92,99.28,99.4,10100
5/19/2009,99.84,99.96,99.56,99.76,700
5/20/2009,100.96,102.8,100.96,102.72,3700
5/21/2009,103.08,104.32,102.2,103.64,6300
5/22/2009,104.04,104.04,102.6,102.64,3600
5/26/2009,102.76,102.76,102.12,102.24,3300
5/27/2009,102.24,102.28,101.56,101.8,400
5/28/2009,98.24,98.68,98,98.04,4400
