Data, Open, High, Low, Close, Volume
11/25/2008,72.48,72.48,72.48,72.48,0
11/26/2008,72,73.11,72,72.84,400
11/28/2008,72.48,72.72,72.42,72.72,800
12/1/2008,70.23,70.23,69.03,69.45,200
12/2/2008,70.17,70.17,69.12,69.12,2300
12/3/2008,68.4,69.36,68.07,69.36,1500
12/4/2008,68.4,68.76,68.4,68.4,900
12/5/2008,67.29,69.09,66.96,69.09,1600
12/8/2008,69.09,69.09,68.34,68.34,600
12/9/2008,68.1,68.1,67.2,67.2,900
12/10/2008,68.46,68.7,68.34,68.34,1300
12/11/2008,66.93,67.35,66.51,66.96,1000
12/12/2008,65.1,66.72,64.8,65.88,1900
12/15/2008,65.4,65.58,65.04,65.34,1200
12/16/2008,64.8,64.8,62.61,62.61,2500
12/17/2008,62.4,62.4,60.9,60.9,3200
12/18/2008,61.68,64.41,61.68,63.57,6900
12/19/2008,64.62,64.62,62.73,63.21,7000
12/22/2008,63.96,64.62,63.96,64.56,4200
12/23/2008,63.99,65.64,63.99,65.64,4400
12/24/2008,65.04,65.04,64.8,64.8,100
12/26/2008,64.29,65.01,64.29,64.95,100
12/29/2008,64.68,64.68,64.47,64.47,1100
12/30/2008,64.65,64.8,64.53,64.8,400
12/31/2008,64.53,66.21,64.53,65.55,2300
1/2/2009,66.63,67.26,66.54,66.54,400
1/5/2009,68.79,69.09,68.28,68.94,3700
1/6/2009,70.44,70.8,69.48,69.78,5600
1/7/2009,67.86,68.67,67.8,67.8,12900
1/8/2009,65.97,66.03,65.55,65.88,3000
1/9/2009,65.4,65.4,64.35,64.62,1600
1/12/2009,63.72,63.75,62.16,62.49,11600
1/13/2009,63.72,63.75,62.43,62.55,16100
1/14/2009,62.55,62.58,62.04,62.58,2500
1/15/2009,63.36,66.9,62.61,63.48,5700
1/16/2009,65.07,65.07,64.41,64.68,4500
1/20/2009,65.01,65.01,63.36,63.36,12200
1/21/2009,63.57,63.57,59.61,63.36,12200
1/22/2009,61.95,62.85,61.8,62.34,2300
1/23/2009,61.95,63.24,61.95,62.46,2400
1/26/2009,62.7,63.3,62.49,62.79,33500
1/27/2009,62.73,62.76,61.68,62.49,3400
1/28/2009,62.85,64.59,62.76,63.93,5200
1/29/2009,63.3,63.51,63,63.51,2900
1/30/2009,63.06,63.75,62.82,63.63,9600
2/2/2009,63.27,63.72,62.73,63.27,3100
2/3/2009,62.43,63.06,61.8,62.73,5100
2/4/2009,63.18,63.42,63,63,2800
2/5/2009,63.54,66.75,63.48,65.25,4200
2/6/2009,65.79,66.69,65.55,66.18,15300
2/9/2009,66.09,66.09,65.28,65.67,5200
2/10/2009,65.25,65.25,63.54,63.9,8000
2/11/2009,63.9,64.29,63.63,64.11,3300
2/12/2009,63.93,64.65,63.72,64.65,9200
2/13/2009,65.73,66.72,65.73,66.48,52600
2/17/2009,66.78,67.77,66.48,66.99,46100
2/18/2009,68.55,69.45,68.13,69.15,55900
2/19/2009,69.75,70.08,69.36,69.93,269200
2/20/2009,69.84,69.84,66.93,67.56,65100
2/23/2009,70.47,70.5,69.09,69.99,40700
2/24/2009,72.6,73.5,72.45,73.26,59700
2/25/2009,73.5,74.73,72.75,74.19,109300
2/26/2009,74.91,76.05,74.7,75.51,62800
2/27/2009,74.07,75.18,73.8,74.4,65800
3/2/2009,74.64,74.7,73.38,74.1,79900
3/3/2009,75.45,76.8,75,75.3,54300
3/4/2009,77.04,77.04,76.44,76.56,46200
3/5/2009,76.29,76.29,74.4,74.46,44800
3/6/2009,74.37,75.33,73.98,75.15,41300
3/9/2009,76.41,76.68,75.9,76.08,41700
3/10/2009,75.18,76.2,75,75.96,64600
3/11/2009,74.94,75.09,73.05,73.2,65600
3/12/2009,73.23,75.18,72.99,73.86,41100
3/13/2009,75.27,75.27,74.46,74.7,32200
3/16/2009,75.36,75.57,74.76,75.03,44400
3/17/2009,75.93,76.08,75.42,75.63,30200
3/18/2009,75.18,75.24,70.23,71.49,70000
3/19/2009,69.57,69.78,67.59,69,111300
3/20/2009,70.65,71.64,70.08,71.01,44300
3/23/2009,72.15,73.32,72.15,72.6,24600
3/24/2009,74.34,74.73,73.65,73.8,14200
3/25/2009,74.34,74.34,72.63,73.29,16400
3/26/2009,74.85,75.3,74.55,75.3,26900
3/27/2009,74.07,74.58,73.5,74.16,17700
3/30/2009,72.63,73.53,72.24,73.2,21900
3/31/2009,74.76,76.11,74.61,75.57,35600
4/1/2009,75.12,75.84,75,75.27,26600
4/2/2009,77.85,77.97,75.96,76.65,95100
4/3/2009,77.13,77.91,76.62,77.79,43400
4/6/2009,78.36,78.99,78.18,78.93,49100
4/7/2009,77.85,78.57,77.43,77.91,47000
4/8/2009,77.85,77.85,76.32,76.77,42600
4/9/2009,77.73,78.09,77.55,77.97,26700
4/13/2009,77.67,77.76,77.25,77.4,19600
4/14/2009,76.29,76.29,75.12,75.48,29200
4/15/2009,76.08,76.38,75.36,76.11,28800
4/16/2009,75.69,76.23,75.42,75.9,14500
4/17/2009,75.81,76.08,75.06,75.9,34100
4/20/2009,74.91,75.03,73.32,73.62,55600
4/21/2009,73.74,75.18,73.56,75.09,15000
4/22/2009,73.44,74.46,73.38,73.83,18300
4/23/2009,74.4,74.4,73.35,73.77,7400
4/24/2009,72.75,73.02,72.21,72.42,17300
4/27/2009,71.94,72.12,71.4,72.06,21400
4/28/2009,71.1,71.85,71.1,71.7,55000
4/29/2009,72.09,73.56,72.06,73.2,8700
4/30/2009,74.55,75.3,74.07,74.64,19400
5/1/2009,76.11,76.17,75.45,75.81,19700
5/4/2009,76.2,76.2,75,75.3,15800
5/5/2009,74.88,75.45,74.88,75.09,15400
5/6/2009,75.18,75.24,74.13,74.28,12500
5/7/2009,75.6,75.6,75.15,75.42,15100
5/8/2009,75.48,75.72,74.31,74.46,16700
5/11/2009,72.99,73.2,72.63,72.69,19200
5/12/2009,72,72.06,70.83,71.34,29200
5/13/2009,70.89,71.13,69.51,69.63,27400
5/14/2009,69.99,70.44,69.93,70.26,25100
5/15/2009,69.93,70.08,68.85,69.42,293700
5/18/2009,70.23,71.34,70.14,71.13,31200
5/19/2009,70.71,70.98,70.68,70.77,112000
5/20/2009,70.35,70.35,68.67,68.82,46500
5/21/2009,68.58,69.15,67.56,68.25,39600
5/22/2009,67.83,68.97,67.83,68.73,13600
5/26/2009,68.7,69.21,68.58,69.18,15200
5/27/2009,69.06,69.6,68.76,69.51,32400
5/28/2009,71.94,72.09,71.52,72,31100
5/29/2009,70.38,70.38,69.12,69.42,28900
6/1/2009,69.81,71.61,69.78,71.28,31600
6/2/2009,69.99,70.56,69.66,69.66,30000
6/3/2009,70.17,70.41,69.93,70.41,6000
6/4/2009,71.16,71.82,70.62,71.46,82800
6/5/2009,73.23,74.55,72.57,74.46,37700
6/8/2009,74.82,74.82,73.53,73.77,27900
6/9/2009,72.75,72.84,72.12,72.12,55400
6/10/2009,73.2,73.74,73.08,73.62,23300
6/11/2009,73.35,73.47,72.27,72.66,26700
6/12/2009,73.23,73.71,73.23,73.68,14000
6/15/2009,73.14,73.2,72.57,72.72,8600
6/16/2009,71.7,71.7,70.44,70.77,47200
6/17/2009,70.02,70.14,69.42,69.66,28000
6/18/2009,70.2,71.07,69.75,70.86,29300
6/19/2009,71.34,71.34,70.05,70.38,19200
6/22/2009,69.81,70.05,68.25,69.84,89500
6/23/2009,69.48,69.69,68.49,68.88,71900
6/24/2009,69.15,69.93,68.88,69.33,10900
6/25/2009,70.14,70.5,69.63,69.81,8800
6/26/2009,69.15,69.15,68.49,68.88,19700
6/29/2009,69.3,70.29,69.18,69.99,31900
6/30/2009,70.59,70.68,70.38,70.38,67300
7/1/2009,70.65,71.04,70.5,70.86,13500
7/2/2009,70.23,70.26,69.63,69.81,2900
7/6/2009,68.28,68.94,67.95,68.94,45400
7/7/2009,68.82,68.82,68.1,68.22,9700
7/8/2009,67.32,67.44,63.78,64.95,103600
7/9/2009,65.49,65.58,65.04,65.4,18500
7/10/2009,64.59,64.92,63.9,64.77,16500
7/13/2009,64.53,65.52,64.38,65.43,41500
7/14/2009,65.64,66,65.1,66,6000
7/15/2009,66.45,67.59,66.27,67.59,18400
7/16/2009,66.39,66.63,65.85,66.57,33000
7/17/2009,67.14,67.47,66.87,67.47,31800
7/20/2009,67.71,67.74,67.11,67.29,42100
7/21/2009,67.02,67.08,65.85,66.39,32700
7/22/2009,65.97,66.6,65.88,66.24,13100
7/23/2009,67.53,68.67,67.35,68.28,16800
7/24/2009,68.28,68.28,67.8,67.95,7900
7/27/2009,68.37,68.79,68.34,68.61,12900
7/28/2009,67.83,67.86,66.84,67.65,24300
7/29/2009,67.89,68.76,67.89,68.22,4900
7/30/2009,69,69.48,68.85,68.85,13600
7/31/2009,68.88,68.88,67.47,67.65,19300
8/3/2009,68.19,68.76,68.19,68.58,9200
8/4/2009,67.92,68.85,67.8,68.55,6900
8/5/2009,68.76,68.76,67.65,68.13,12000
8/6/2009,69.09,69.3,68.76,68.76,9200
8/7/2009,70.71,72.15,70.71,71.76,45200
8/10/2009,71.37,71.7,70.98,71.13,15000
8/11/2009,70.11,70.17,69.21,69.51,21200
8/12/2009,69.15,70.53,69.15,69.6,5200
8/13/2009,69.24,69.24,68.13,68.55,31300
8/14/2009,67.92,67.92,67.23,67.71,36600
8/17/2009,67.29,67.41,66.9,67.2,4900
8/18/2009,67.65,67.74,67.41,67.59,2200
8/19/2009,66.63,66.84,66.15,66.69,17300
8/20/2009,66.63,67.14,66.63,66.87,4900
8/21/2009,66.18,67.56,65.82,66.99,32700
8/24/2009,67.56,67.89,67.2,67.29,6200
8/25/2009,66.9,67.32,66.57,66.69,7500
8/26/2009,66.78,67.5,66.72,66.78,8600
8/27/2009,66.3,66.3,65.46,65.91,12000
8/28/2009,66.18,66.21,65.76,65.91,2600
8/31/2009,65.19,65.31,64.74,65.19,6100
9/1/2009,65.19,65.79,64.92,64.92,7500
9/2/2009,64.41,64.47,63.84,63.84,6000
9/3/2009,64.41,65.1,64.41,65.1,5100
9/4/2009,65.01,65.25,64.83,65.13,6000
9/8/2009,64.2,64.2,63.75,63.99,17100
9/9/2009,63.9,63.99,63.27,63.84,4400
9/10/2009,63.57,63.57,63.21,63.3,5900
9/11/2009,62.01,62.1,61.11,61.71,74800
9/14/2009,62.25,62.31,61.8,62.16,25200
9/15/2009,62.76,62.82,62.1,62.4,20200
9/16/2009,61.68,62.85,61.56,62.13,23000
9/17/2009,62.7,62.94,62.52,62.55,30600
9/18/2009,62.61,63,62.61,62.94,5300
9/21/2009,64.29,64.29,63.66,63.78,9000
9/22/2009,62.49,62.79,62.25,62.7,25700
9/23/2009,62.76,62.97,62.31,62.88,6100
9/24/2009,61.83,63.09,61.83,62.67,11000
9/25/2009,61.26,61.5,60.27,60.75,28800
9/28/2009,60.24,60.75,59.85,60.51,20700
9/29/2009,60.87,61.44,60.87,61.38,17400
9/30/2009,60.69,60.9,60.24,60.75,29300
10/1/2009,60.48,60.78,60.27,60.78,14500
10/2/2009,59.79,60.99,59.19,60.9,55300
10/5/2009,60.75,61.08,60.39,60.54,4500
10/6/2009,60.09,60.09,59.25,59.55,7300
10/7/2009,60,60.15,58.92,59.16,9800
10/8/2009,59.01,59.25,58.65,58.89,7000
10/9/2009,60.09,60.9,59.82,60.6,54600
10/12/2009,61.11,61.11,60.6,60.87,12200
