Data, Open, High, Low, Close, Volume
3/18/2010,49.28,49.53,49.28,49.49,4200
3/19/2010,49.38,49.93,49.38,49.89,700
3/22/2010,49.72,49.72,49.72,49.72,1400
3/23/2010,50,50,50,50,200
3/24/2010,50.18,50.56,50.18,50.21,20700
3/25/2010,50.39,51.13,50.27,51.13,21000
3/26/2010,50.08,51.72,49.68,50.1,7500
3/29/2010,49.65,49.65,49.09,49.13,9800
3/30/2010,48.44,48.51,48.17,48.34,5100
3/31/2010,48.46,48.46,48.24,48.45,3900
4/1/2010,47.24,47.28,47.11,47.26,2300
4/5/2010,46.91,46.91,46.5,46.57,3100
4/6/2010,46.74,46.74,46.46,46.49,2000
4/7/2010,46.51,46.79,46.5,46.74,5300
4/8/2010,47.16,47.16,46.38,46.38,6600
4/9/2010,46.1,46.1,44.43,45.75,4200
4/12/2010,46.14,46.2,46.14,46.2,1900
4/13/2010,46.2,46.2,46.2,46.2,0
4/14/2010,46.2,46.2,45.92,45.92,2300
4/15/2010,46.26,46.26,46.19,46.19,2100
4/16/2010,48.08,48.1,47.92,47.99,2100
4/19/2010,48.58,48.96,48.35,48.41,9100
4/20/2010,47.59,47.88,47.59,47.66,2500
4/21/2010,48.07,48.39,48.05,48.29,1800
4/22/2010,48.56,48.99,48.15,48.15,3700
4/23/2010,48.58,48.65,48.25,48.25,4800
4/26/2010,47.95,47.99,47.93,47.98,1800
4/27/2010,48.94,50.03,48.91,49.99,9200
4/28/2010,49.33,49.74,49.33,49.46,4600
4/29/2010,49.34,49.35,49.25,49.25,1200
4/30/2010,49.14,49.29,48.92,49.29,1600
5/3/2010,49.17,49.17,49.03,49.09,2400
5/4/2010,50.19,51.14,50.19,50.83,3500
5/5/2010,51.58,51.8,50.87,51.59,9400
5/6/2010,51.72,53.29,51.46,53.29,7000
5/7/2010,52.59,53.18,51.85,53,8700
5/10/2010,51.69,51.69,49.83,49.93,6000
5/11/2010,51.21,51.21,50.09,50.57,14300
5/12/2010,50.61,50.81,50.35,50.44,49900
5/13/2010,50.39,50.62,50.24,50.62,4400
5/14/2010,51.23,52.11,51.23,51.6,18900
5/17/2010,51.99,52.72,51.57,51.79,12300
5/18/2010,50.86,52.31,50.85,52.31,4400
5/19/2010,52.52,52.75,52.03,52.1,8900
5/20/2010,53.56,54.89,53.2,53.64,56000
5/21/2010,53.1,54.8,52.22,52.32,10200
5/24/2010,51.72,51.81,51.22,51.8,11000
5/25/2010,54.14,54.14,52.5,52.61,27800
5/26/2010,52.07,52.23,51.52,52.23,2100
5/27/2010,51.21,51.21,50.16,50.17,45600
5/28/2010,50.57,51,50.5,51,1900
6/1/2010,51.18,51.51,50.53,51.51,21700
6/2/2010,51.26,51.26,50.28,50.42,10900
6/3/2010,50.15,50.47,50.15,50.47,800
6/4/2010,51.35,51.89,51.15,51.89,1800
6/7/2010,51.53,52.18,51.53,52.18,1600
6/8/2010,51.91,52.11,51.71,51.71,2400
6/9/2010,49.97,50.98,49.79,50.98,12300
6/10/2010,50,50,49.43,49.43,5000
6/11/2010,49.51,49.51,49.37,49.45,1900
6/14/2010,48.72,49.37,48.71,49.37,2000
6/15/2010,48.76,48.76,48.22,48.22,1100
6/16/2010,48.51,48.56,48,48,2400
6/17/2010,48.92,48.92,48.77,48.77,1200
6/18/2010,48.68,48.69,48.52,48.66,6400
6/21/2010,46.52,47.18,46.43,47.15,2300
6/22/2010,47.18,47.61,46.74,47.59,6500
6/23/2010,47.16,47.16,46.99,46.99,400
6/24/2010,47.75,47.81,47.75,47.81,2300
6/25/2010,47.7,47.7,47.6,47.6,800
6/28/2010,47.6,47.6,47.6,47.6,0
6/29/2010,49.03,49.56,48.93,49.56,31300
6/30/2010,49.02,49.64,48.84,49.64,5900
7/1/2010,49.66,50.33,49.38,49.38,17600
7/2/2010,49.93,49.93,49.75,49.75,400
7/6/2010,48.57,49.16,48.17,49.02,29300
7/7/2010,49.01,49.01,48.55,48.55,800
7/8/2010,48.64,49.02,48.64,48.99,8300
7/9/2010,48.21,48.44,47.78,47.78,20600
7/12/2010,48.05,48.08,48.05,48.06,5000
7/13/2010,47.68,47.89,47.61,47.61,14400
7/14/2010,48.06,48.16,48.05,48.16,2200
7/15/2010,48.16,48.16,48.16,48.16,0
7/16/2010,49.41,50.07,49.41,49.9,400
7/19/2010,49.6,49.96,49.6,49.69,11100
7/20/2010,49.69,49.69,49.69,49.69,0
7/21/2010,47.87,48.43,47.84,48.35,2100
7/22/2010,47.41,47.42,47.2,47.2,7500
7/23/2010,47.2,47.2,47.07,47.07,200
7/26/2010,46.91,46.91,46.67,46.67,1300
7/27/2010,46.68,46.92,46.68,46.92,500
7/28/2010,46.83,47.05,46.82,47.05,700
7/29/2010,47.02,47.35,47.02,47.35,500
7/30/2010,46.96,47.02,46.74,46.74,9200
8/2/2010,45.86,45.88,45.41,45.53,15300
8/3/2010,46.08,46.29,45.99,45.99,400
8/4/2010,46,46.08,45.75,45.75,2300
8/5/2010,46.12,46.13,45.98,45.99,8000
8/6/2010,46.33,46.35,46.05,46.09,7000
8/9/2010,45.73,45.8,45.64,45.69,3700
8/10/2010,46.86,46.91,46.83,46.91,700
8/11/2010,47.65,47.99,47.65,47.97,6600
8/12/2010,48.34,48.34,48.09,48.33,2700
8/13/2010,47.98,48.23,47.98,48.2,800
8/16/2010,47.83,47.85,47.41,47.68,5500
8/17/2010,47.28,47.28,46.89,46.93,1400
8/18/2010,47.33,47.33,47.12,47.12,5600
8/19/2010,47.46,47.71,47.46,47.6,14100
8/20/2010,47.42,47.86,47.42,47.42,4000
8/23/2010,47.82,48.01,47.78,47.96,2600
8/24/2010,48.48,48.55,48.37,48.37,1200
8/25/2010,48.88,49.14,48.82,48.83,5400
8/26/2010,48.66,49,48.51,49,2000
8/27/2010,48.54,48.59,48.36,48.36,2900
8/30/2010,48.59,48.59,48.5,48.59,5600
8/31/2010,48.84,48.84,48.84,48.84,100
9/1/2010,47.75,47.75,47.5,47.56,3900
9/2/2010,47.35,47.35,47.35,47.35,100
9/3/2010,46.74,46.95,46.74,46.89,1400
9/7/2010,46.51,47.2,46.51,47.2,6100
9/8/2010,46.92,47.05,46.92,47.05,500
9/9/2010,46.6,46.85,46.6,46.81,1000
9/10/2010,46.93,46.93,46.77,46.77,800
9/13/2010,45.76,45.78,45.65,45.68,3400
9/14/2010,45.83,45.84,45.83,45.84,1000
9/15/2010,45.84,45.84,45.84,45.84,0
9/16/2010,45.84,45.84,45.84,45.84,0
9/17/2010,45.78,45.85,45.7,45.7,2200
9/20/2010,45.41,45.47,45.02,45.02,800
9/21/2010,45.24,45.24,44.86,44.86,300
