Data, Open, High, Low, Close, Volume
6/23/2015,20.12,20.2,20.05,20.05,700
6/24/2015,20.27,20.97,20.24,20.95,12000
6/25/2015,20.77,21.49,20.44,21.12,22100
6/26/2015,21.07,22.17,21.07,21.72,39300
6/29/2015,22.91,23.79,21.86,23.79,54200
6/30/2015,22.61,23.29,21.92,22.15,31300
7/1/2015,21.27,22.12,21.1,21.97,21600
7/2/2015,21.5,22.17,21.5,21.94,7400
7/6/2015,22.52,22.59,21.25,21.57,8900
7/7/2015,21.42,22.4,21.37,21.37,14000
7/8/2015,21.97,23.3,21.9,23.23,11100
7/9/2015,22.04,22.53,21.9,22.4,23800
7/10/2015,21.41,22.06,21.3,21.32,12500
7/13/2015,20.65,20.65,20.12,20.16,30400
7/14/2015,19.86,20.09,18.71,18.76,39200
7/15/2015,18.07,18.59,17.5,18.36,29700
7/16/2015,18.05,18.27,17.59,17.68,19300
7/17/2015,17.76,18.06,17.42,17.42,5800
7/20/2015,17.28,17.48,17,17.46,20500
7/21/2015,17.5,18.28,17.5,17.69,27000
7/22/2015,18.36,18.57,17.66,17.8,73500
7/23/2015,17.71,18.08,17.47,17.92,18900
7/24/2015,18.96,20.31,18.54,20.13,58200
7/27/2015,20.71,21.38,20.4,20.79,31100
7/28/2015,20.15,20.75,19.17,19.31,47000
7/29/2015,19.58,20.32,19.17,19.99,14600
7/30/2015,20.26,21.09,19.67,19.83,22900
7/31/2015,19.45,19.64,18.8,19.22,29400
8/3/2015,19.01,19.73,18.9,19.21,10300
8/4/2015,19.03,19.23,18.7,19.07,12900
