Data, Open, High, Low, Close, Volume
12/3/2008,5470,5470,5292,5292,0
12/4/2008,5400,5500,5400,5500,0
12/5/2008,5598,5598,5598,5598,0
12/8/2008,4692,4822,4630,4822,0
12/9/2008,5106,5994,4926,4932,0
12/10/2008,4680,4698,4600,4600,0
12/11/2008,4440,4504,4360,4504,0
12/12/2008,4720,4750,4516,4578,0
12/15/2008,4534,4540,4204,4220,0
12/16/2008,4264,4272,3808,3808,100
12/17/2008,3834,3834,3500,3634,0
12/18/2008,3828,4016,3668,3902,0
12/19/2008,4004,4004,3928,3928,0
12/22/2008,3910,3982,3910,3982,0
12/23/2008,4116,4450,4086,4392,100
12/24/2008,4472,4472,4294,4342,0
12/26/2008,4278,4278,4032,4032,0
12/29/2008,3770,4080,3600,3888,0
12/30/2008,3836,3868,3674,3868,0
12/31/2008,3938,3948,3476,3502,100
1/2/2009,3636,3646,3410,3410,0
1/5/2009,3900,3900,3596,3640,0
1/6/2009,3590,3660,3400,3456,100
1/7/2009,3522,3786,3522,3696,0
1/8/2009,3626,3650,3530,3624,100
1/9/2009,3706,3706,3340,3516,0
1/12/2009,3678,3958,3662,3958,0
1/13/2009,4000,4000,3828,3880,0
1/14/2009,4030,4138,3956,3960,100
1/15/2009,4012,4134,3910,3910,0
1/16/2009,3628,3638,3414,3414,0
1/20/2009,3426,3562,3420,3486,0
1/21/2009,3396,3480,3326,3480,0
1/22/2009,3390,3390,3310,3352,0
1/23/2009,3272,3424,2942,3056,100
1/26/2009,2964,2980,2860,2970,100
1/27/2009,3014,3030,2874,3030,100
1/28/2009,3304,3304,2934,3034,0
1/29/2009,3042,3042,2768,2814,100
1/30/2009,2726,2754,2660,2660,0
2/2/2009,2776,2780,2702,2772,0
2/3/2009,2832,2858,2748,2748,100
2/4/2009,2708,2712,2680,2698,0
2/5/2009,2594,2614,2528,2566,100
2/6/2009,2502,2530,2436,2484,100
2/9/2009,2526,2566,2492,2560,100
2/10/2009,2480,2480,2420,2448,200
2/11/2009,2400,2400,2246,2300,400
2/12/2009,2350,2356,2290,2306,400
2/13/2009,2356,2376,2230,2230,200
2/17/2009,2148,2148,2058,2100,500
2/18/2009,2074,2100,2022,2026,400
2/19/2009,2084,2168,2080,2126,700
2/20/2009,2010,2032,1978,2006,800
2/23/2009,2074,2106,1964,1998,1200
2/24/2009,1998,2212,1990,2198,2400
2/25/2009,2162,2240,2096,2226,2700
2/26/2009,2284,2458,2284,2396,3400
2/27/2009,2352,2506,2322,2414,1800
3/2/2009,2382,2554,2374,2474,2500
3/3/2009,2582,2690,2500,2512,4100
3/4/2009,2414,2512,2396,2472,1800
3/5/2009,2416,2466,2310,2316,2600
3/6/2009,2314,2322,2262,2316,1500
3/9/2009,2254,2488,2170,2432,4000
3/10/2009,2510,2598,2496,2544,2700
3/11/2009,2518,2554,2438,2488,1200
3/12/2009,2452,2464,2368,2406,1500
3/13/2009,2328,2388,2308,2320,1100
3/16/2009,2410,2470,2410,2414,1100
3/17/2009,2436,2524,2422,2474,1600
3/18/2009,2568,2804,2366,2394,5700
3/19/2009,2260,2260,2120,2148,3700
3/20/2009,2180,2192,2070,2112,1900
3/23/2009,2150,2154,2072,2154,1500
3/24/2009,2210,2264,2196,2212,1800
3/25/2009,2270,2306,2152,2186,1800
3/26/2009,2122,2170,2098,2168,900
3/27/2009,2236,2250,2212,2236,500
